,Total_loads
,15
date,
2015-01-01,23528.0
2015-01-02,27973.0
2015-01-03,25362.0
2015-01-04,28249.0
2015-01-05,28696.93990521868
2015-01-06,30542.0
2015-01-07,36020.0
2015-01-08,28237.0
2015-01-09,33792.0
2015-01-10,29836.0
2015-01-11,23377.0
2015-01-12,32422.0
2015-01-13,33283.0
2015-01-14,33322.0
2015-01-15,33573.0
2015-01-16,33777.0
2015-01-17,29725.0
2015-01-18,29506.0
2015-01-19,36103.0
2015-01-20,36287.0
2015-01-21,36479.0
2015-01-22,35785.0
2015-01-23,34752.0
2015-01-24,30494.0
2015-01-25,27849.0
2015-01-26,34575.0
2015-01-27,34498.0
2015-01-28,33886.0
2015-01-29,34345.0
2015-01-30,33900.0
2015-01-31,29436.0
2015-02-01,28696.93990521868
2015-02-02,36008.0
2015-02-03,31275.0
2015-02-04,24307.0
2015-02-05,25272.0
2015-02-06,32153.0
2015-02-07,35266.0
2015-02-08,26838.0
2015-02-09,32858.0
2015-02-10,29749.0
2015-02-11,28534.0
2015-02-12,32607.0
2015-02-13,33223.0
2015-02-14,30055.0
2015-02-15,27435.0
2015-02-16,33183.0
2015-02-17,34203.0
2015-02-18,34034.0
2015-02-19,32802.0
2015-02-20,32671.0
2015-02-21,29553.0
2015-02-22,26909.0
2015-02-23,33477.0
2015-02-24,33702.0
2015-02-25,33481.0
2015-02-26,32726.0
2015-02-27,31643.0
2015-02-28,27570.0
2015-03-01,28375.0
2015-03-02,35771.0
2015-03-03,30892.0
2015-03-04,21706.0
2015-03-05,23615.0
2015-03-06,32417.0
2015-03-07,35790.0
2015-03-08,34894.0
2015-03-09,31587.0
2015-03-10,25771.0
2015-03-11,30112.0
2015-03-12,31915.0
2015-03-13,30153.0
2015-03-14,27381.0
2015-03-15,25731.0
2015-03-16,31728.0
2015-03-17,32290.0
2015-03-18,33102.0
2015-03-19,29970.0
2015-03-20,31850.0
2015-03-21,28617.0
2015-03-22,26446.0
2015-03-23,33296.0
2015-03-24,33383.0
2015-03-25,32695.0
2015-03-26,32404.0
2015-03-27,31088.0
2015-03-28,26103.0
2015-03-29,24346.0
2015-03-30,29620.0
2015-03-31,29310.0
2015-04-01,26825.0
2015-04-02,36774.0
2015-04-03,31504.0
2015-04-04,23644.0
2015-04-05,30268.0
2015-04-06,31231.0
2015-04-07,31610.0
2015-04-08,34535.0
2015-04-09,30368.0
2015-04-10,24083.0
2015-04-11,29946.0
2015-04-12,31480.0
2015-04-13,29300.0
2015-04-14,29888.0
2015-04-15,30216.0
2015-04-16,29587.0
2015-04-17,29310.0
2015-04-18,25732.0
2015-04-19,23597.0
2015-04-20,29254.0
2015-04-21,29426.0
2015-04-22,29113.0
2015-04-23,28503.0
2015-04-24,29140.0
2015-04-25,25956.0
2015-04-26,24235.0
2015-04-27,29520.0
2015-04-28,29305.0
2015-04-29,29476.0
2015-04-30,29645.0
2015-05-01,29742.0
2015-05-02,36151.0
2015-05-03,31359.0
2015-05-04,22336.0
2015-05-05,30122.0
2015-05-06,31941.0
2015-05-07,30135.0
2015-05-08,34963.0
2015-05-09,26058.0
2015-05-10,30630.0
2015-05-11,29536.0
2015-05-12,27787.0
2015-05-13,31883.0
2015-05-14,32782.0
2015-05-15,29511.0
2015-05-16,26052.0
2015-05-17,24359.0
2015-05-18,30774.0
2015-05-19,30394.0
2015-05-20,29374.0
2015-05-21,29191.0
2015-05-22,29358.0
2015-05-23,25906.0
2015-05-24,23456.0
2015-05-25,29566.0
2015-05-26,30125.0
2015-05-27,30555.0
2015-05-28,31135.0
2015-05-29,30428.0
2015-05-30,26462.0
2015-05-31,24144.0
2015-06-01,24866.0
2015-06-02,36223.0
2015-06-03,30815.0
2015-06-04,25150.0
2015-06-05,29902.0
2015-06-06,28212.0
2015-06-07,38284.0
2015-06-08,35033.0
2015-06-09,23754.0
2015-06-10,30374.0
2015-06-11,29435.0
2015-06-12,25565.0
2015-06-13,26377.0
2015-06-14,23908.0
2015-06-15,29787.0
2015-06-16,29642.0
2015-06-17,30178.0
2015-06-18,30834.0
2015-06-19,31341.0
2015-06-20,28214.0
2015-06-21,25947.0
2015-06-22,32858.0
2015-06-23,32086.0
2015-06-24,29554.0
2015-06-25,32696.0
2015-06-26,33471.0
2015-06-27,30629.0
2015-06-28,28506.0
2015-06-29,36397.0
2015-06-30,36219.0
2015-07-01,33974.0
2015-07-02,33187.0
2015-07-03,26468.0
2015-07-04,29268.0
2015-07-05,29947.0
2015-07-06,25946.0
2015-07-07,38468.0
2015-07-08,35483.0
2015-07-09,29896.0
2015-07-10,29544.0
2015-07-11,25384.0
2015-07-12,28097.0
2015-07-13,37321.0
2015-07-14,38081.0
2015-07-15,38170.0
2015-07-16,38051.0
2015-07-17,37665.0
2015-07-18,32201.0
2015-07-19,29042.0
2015-07-20,38405.0
2015-07-21,38863.0
2015-07-22,38019.0
2015-07-23,37950.0
2015-07-24,37285.0
2015-07-25,30734.0
2015-07-26,28731.0
2015-07-27,36642.0
2015-07-28,36768.0
2015-07-29,37436.0
2015-07-30,35296.0
2015-07-31,33222.0
2015-08-01,34273.0
2015-08-02,29254.0
2015-08-03,24373.0
2015-08-04,30006.0
2015-08-05,30316.0
2015-08-06,33249.0
2015-08-07,38444.0
2015-08-08,29732.0
2015-08-09,29418.0
2015-08-10,29110.0
2015-08-11,23442.0
2015-08-12,26102.0
2015-08-13,32096.0
2015-08-14,29749.0
2015-08-15,24961.0
2015-08-16,24300.0
2015-08-17,29985.0
2015-08-18,29762.0
2015-08-19,30256.0
2015-08-20,31744.0
2015-08-21,32537.0
2015-08-22,28129.0
2015-08-23,25315.0
2015-08-24,30248.0
2015-08-25,30957.0
2015-08-26,32468.0
2015-08-27,33159.0
2015-08-28,33436.0
2015-08-29,29644.0
2015-08-30,27790.0
2015-08-31,35036.0
2015-09-01,33236.0
2015-09-02,36007.0
2015-09-03,30501.0
2015-09-04,30521.0
2015-09-05,26487.0
2015-09-06,32788.0
2015-09-07,37089.0
2015-09-08,26161.0
2015-09-09,30461.0
2015-09-10,28465.0
2015-09-11,28732.0
2015-09-12,31823.0
2015-09-13,24233.0
2015-09-14,29841.0
2015-09-15,30414.0
2015-09-16,30706.0
2015-09-17,29615.0
2015-09-18,29594.0
2015-09-19,25964.0
2015-09-20,23944.0
2015-09-21,30361.0
2015-09-22,30887.0
2015-09-23,30481.0
2015-09-24,29833.0
2015-09-25,29807.0
2015-09-26,26004.0
2015-09-27,23907.0
2015-09-28,29980.0
2015-09-29,29873.0
2015-09-30,29526.0
2015-10-01,28714.0
2015-10-02,35921.0
2015-10-03,30488.0
2015-10-04,29758.0
2015-10-05,24307.0
2015-10-06,32544.0
2015-10-07,36633.0
2015-10-08,33018.0
2015-10-09,30930.0
2015-10-10,25213.0
2015-10-11,29412.0
2015-10-12,31976.0
2015-10-13,29336.0
2015-10-14,28999.0
2015-10-15,29128.0
2015-10-16,29239.0
2015-10-17,25892.0
2015-10-18,23579.0
2015-10-19,29702.0
2015-10-20,29913.0
2015-10-21,29323.0
2015-10-22,29120.0
2015-10-23,29160.0
2015-10-24,25674.0
2015-10-25,23242.0
2015-10-26,29602.0
2015-10-27,29762.0
2015-10-28,29839.0
2015-10-29,29726.0
2015-10-30,29470.0
2015-10-31,25393.0
2015-11-01,26763.0
2015-11-02,35277.0
2015-11-03,30557.0
2015-11-04,26525.0
2015-11-05,30606.0
2015-11-06,31260.0
2015-11-07,31521.0
2015-11-08,33215.0
2015-11-09,29339.0
2015-11-10,23419.0
2015-11-11,29498.0
2015-11-12,31675.0
2015-11-13,29296.0
2015-11-14,25359.0
2015-11-15,23462.0
2015-11-16,29453.0
2015-11-17,30217.0
2015-11-18,30326.0
2015-11-19,30346.0
2015-11-20,30231.0
2015-11-21,26701.0
2015-11-22,25225.0
2015-11-23,32496.0
2015-11-24,33299.0
2015-11-25,32791.0
2015-11-26,32108.0
2015-11-27,31292.0
2015-11-28,27631.0
2015-11-29,25557.0
2015-11-30,32242.0
2015-12-01,33376.0
2015-12-02,35063.0
2015-12-03,30403.0
2015-12-04,24433.0
2015-12-05,31325.0
2015-12-06,30696.0
2015-12-07,28870.0
2015-12-08,33467.0
2015-12-09,26468.0
2015-12-10,24011.0
2015-12-11,29523.0
2015-12-12,28435.0
2015-12-13,26703.0
2015-12-14,32893.0
2015-12-15,31863.0
2015-12-16,31684.0
2015-12-17,31521.0
2015-12-18,30807.0
2015-12-19,27756.0
2015-12-20,25978.0
2015-12-21,30842.0
2015-12-22,30794.0
2015-12-23,30273.0
2015-12-24,25906.0
2015-12-25,21020.0
2015-12-26,25074.0
2015-12-27,24591.0
2015-12-28,29673.0
2015-12-29,28476.0
2015-12-30,28684.0
2015-12-31,26061.0
2016-01-01,22061.0
2016-01-02,31449.0
2016-01-03,32344.0
2016-01-04,30376.0
2016-01-05,22190.0
2016-01-06,29970.0
2016-01-07,33939.0
2016-01-08,34479.0
2016-01-09,35417.0
2016-01-10,26346.0
2016-01-11,23577.0
2016-01-12,33084.0
2016-01-13,33252.0
2016-01-14,33763.0
2016-01-15,33308.0
2016-01-16,29402.0
2016-01-17,28555.0
2016-01-18,34498.0
2016-01-19,34144.0
2016-01-20,33737.0
2016-01-21,33846.0
2016-01-22,33041.0
2016-01-23,28137.0
2016-01-24,25942.0
2016-01-25,31908.0
2016-01-26,32401.0
2016-01-27,32455.0
2016-01-28,32958.0
2016-01-29,32371.0
2016-01-30,28055.0
2016-01-31,25912.0
2016-02-01,25951.0
2016-02-02,31668.0
2016-02-03,32127.0
2016-02-04,27189.0
2016-02-05,26950.0
2016-02-06,30413.0
2016-02-07,29880.0
2016-02-08,35236.0
2016-02-09,35772.0
2016-02-10,24097.0
2016-02-11,29774.0
2016-02-12,32065.0
2016-02-13,28289.0
2016-02-14,26657.0
2016-02-15,33567.0
2016-02-16,33269.0
2016-02-17,34160.0
2016-02-18,34764.0
2016-02-19,33589.0
2016-02-20,28923.0
2016-02-21,26637.0
2016-02-22,32012.0
2016-02-23,31751.0
2016-02-24,32459.0
2016-02-25,32094.0
2016-02-26,33258.0
2016-02-27,30145.0
2016-02-28,27429.0
2016-02-29,32310.0
2016-03-01,25951.0
2016-03-02,31986.0
2016-03-03,31926.0
2016-03-04,25450.0
2016-03-05,29329.0
2016-03-06,30278.0
2016-03-07,27849.0
2016-03-08,35647.0
2016-03-09,31945.0
2016-03-10,30630.0
2016-03-11,29690.0
2016-03-12,29119.0
2016-03-13,25746.0
2016-03-14,32847.0
2016-03-15,33064.0
2016-03-16,31593.0
2016-03-17,32080.0
2016-03-18,32112.0
2016-03-19,27848.0
2016-03-20,25864.0
2016-03-21,31838.0
2016-03-22,31601.0
2016-03-23,30407.0
2016-03-24,25302.0
2016-03-25,23850.0
2016-03-26,25282.0
2016-03-27,23640.0
2016-03-28,27097.0
2016-03-29,30098.0
2016-03-30,29781.0
2016-03-31,30683.0
2016-04-01,30518.0
2016-04-02,31922.0
2016-04-03,32148.0
2016-04-04,32076.0
2016-04-05,29655.0
2016-04-06,26400.0
2016-04-07,34508.0
2016-04-08,35424.0
2016-04-09,30201.0
2016-04-10,31120.0
2016-04-11,30706.0
2016-04-12,27448.0
2016-04-13,30972.0
2016-04-14,30867.0
2016-04-15,30293.0
2016-04-16,26796.0
2016-04-17,24361.0
2016-04-18,30175.0
2016-04-19,31066.0
2016-04-20,31050.0
2016-04-21,30246.0
2016-04-22,29862.0
