,Total_loads
,19
date,
2015-01-01,28020.0
2015-01-02,31967.0
2015-01-03,27964.0
2015-01-04,27418.0
2015-01-05,22048.0
2015-01-06,30147.0
2015-01-07,35188.0
2015-01-08,27544.0
2015-01-09,32440.0
2015-01-10,29950.0
2015-01-11,26520.0
2015-01-12,36615.0
2015-01-13,37553.0
2015-01-14,37535.0
2015-01-15,37469.0
2015-01-16,36821.0
2015-01-17,33274.0
2015-01-18,32810.0
2015-01-19,39304.0
2015-01-20,40232.0
2015-01-21,40081.0
2015-01-22,39702.0
2015-01-23,38329.0
2015-01-24,34127.0
2015-01-25,32239.0
2015-01-26,38622.0
2015-01-27,38335.0
2015-01-28,37937.0
2015-01-29,38037.0
2015-01-30,36795.0
2015-01-31,32787.0
2015-02-01,28696.93990521868
2015-02-02,38943.0
2015-02-03,33367.0
2015-02-04,23417.0
2015-02-05,24262.0
2015-02-06,31666.0
2015-02-07,34258.0
2015-02-08,26387.0
2015-02-09,31886.0
2015-02-10,29536.0
2015-02-11,31005.0
2015-02-12,36389.0
2015-02-13,36464.0
2015-02-14,32523.0
2015-02-15,29896.0
2015-02-16,36098.0
2015-02-17,37188.0
2015-02-18,36610.0
2015-02-19,36514.0
2015-02-20,35770.0
2015-02-21,31925.0
2015-02-22,30165.0
2015-02-23,36340.0
2015-02-24,36729.0
2015-02-25,36177.0
2015-02-26,35354.0
2015-02-27,33649.0
2015-02-28,29643.0
2015-03-01,32130.0
2015-03-02,39296.0
2015-03-03,33367.0
2015-03-04,21594.0
2015-03-05,23481.0
2015-03-06,31756.0
2015-03-07,34623.0
2015-03-08,33145.0
2015-03-09,30679.0
2015-03-10,25507.0
2015-03-11,33199.0
2015-03-12,36017.0
2015-03-13,31977.0
2015-03-14,28952.0
2015-03-15,27938.0
2015-03-16,33382.0
2015-03-17,34416.0
2015-03-18,34534.0
2015-03-19,31892.0
2015-03-20,33237.0
2015-03-21,29701.0
2015-03-22,28390.0
2015-03-23,34853.0
2015-03-24,34655.0
2015-03-25,33961.0
2015-03-26,33685.0
2015-03-27,31396.0
2015-03-28,26796.0
2015-03-29,23636.0
2015-03-30,28019.0
2015-03-31,28026.0
2015-04-01,30623.0
2015-04-02,40306.0
2015-04-03,34097.0
2015-04-04,23204.0
2015-04-05,29637.0
2015-04-06,30960.0
2015-04-07,30571.0
2015-04-08,33195.0
2015-04-09,29315.0
2015-04-10,24722.0
2015-04-11,33164.0
2015-04-12,34779.0
2015-04-13,28346.0
2015-04-14,29062.0
2015-04-15,29624.0
2015-04-16,29337.0
2015-04-17,28390.0
2015-04-18,25097.0
2015-04-19,23107.0
2015-04-20,28253.0
2015-04-21,28646.0
2015-04-22,28243.0
2015-04-23,27765.0
2015-04-24,28223.0
2015-04-25,24833.0
2015-04-26,23926.0
2015-04-27,28763.0
2015-04-28,28460.0
2015-04-29,28781.0
2015-04-30,28699.0
