,Total_loads
,6
date,
2015-01-01,20010.0
2015-01-02,22275.0
2015-01-03,21674.0
2015-01-04,24035.0
2015-01-05,20252.0
2015-01-06,23433.0
2015-01-07,26992.0
2015-01-08,22551.0
2015-01-09,25965.0
2015-01-10,24361.0
2015-01-11,19404.0
2015-01-12,26787.0
2015-01-13,27027.0
2015-01-14,27040.0
2015-01-15,26919.0
2015-01-16,27025.0
2015-01-17,24025.0
2015-01-18,22350.0
2015-01-19,26513.0
2015-01-20,27866.0
2015-01-21,27986.0
2015-01-22,28176.0
2015-01-23,28213.0
2015-01-24,24822.0
2015-01-25,22939.0
2015-01-26,26802.0
2015-01-27,27748.0
2015-01-28,27861.0
2015-01-29,27423.0
2015-01-30,27327.0
2015-01-31,24183.0
2015-02-01,22153.0
2015-02-02,26861.0
2015-02-03,25334.0
2015-02-04,21161.0
2015-02-05,20279.0
2015-02-06,24795.0
2015-02-07,26440.0
2015-02-08,21126.0
2015-02-09,25947.0
2015-02-10,24495.0
2015-02-11,22576.0
2015-02-12,26611.0
2015-02-13,27705.0
2015-02-14,24055.0
2015-02-15,22427.0
2015-02-16,26041.0
2015-02-17,27326.0
2015-02-18,27630.0
2015-02-19,27273.0
2015-02-20,27208.0
2015-02-21,23686.0
2015-02-22,22388.0
2015-02-23,26321.0
2015-02-24,27577.0
2015-02-25,27809.0
2015-02-26,27341.0
2015-02-27,26964.0
2015-02-28,23361.0
2015-03-01,22434.0
2015-03-02,28104.0
2015-03-03,25773.0
2015-03-04,19211.0
2015-03-05,19838.0
2015-03-06,25167.0
2015-03-07,26479.0
2015-03-08,24489.0
2015-03-09,25545.0
2015-03-10,21645.0
2015-03-11,24601.0
2015-03-12,26721.0
2015-03-13,25970.0
2015-03-14,22785.0
2015-03-15,21350.0
2015-03-16,25526.0
2015-03-17,26512.0
2015-03-18,26272.0
2015-03-19,24766.0
2015-03-20,25005.0
2015-03-21,22721.0
2015-03-22,21104.0
2015-03-23,25108.0
2015-03-24,26407.0
2015-03-25,26456.0
2015-03-26,26016.0
2015-03-27,25961.0
2015-03-28,22613.0
2015-03-29,20668.0
2015-03-30,23477.0
2015-03-31,24040.0
2015-04-01,21476.0
2015-04-02,28654.0
2015-04-03,25892.0
2015-04-04,19592.0
2015-04-05,23474.0
2015-04-06,24859.0
2015-04-07,23853.0
2015-04-08,25467.0
2015-04-09,25069.0
2015-04-10,19901.0
2015-04-11,24561.0
2015-04-12,26504.0
2015-04-13,23902.0
2015-04-14,24492.0
2015-04-15,24735.0
2015-04-16,24606.0
2015-04-17,24716.0
2015-04-18,21785.0
