,time,temp,humidity,wind_speed,total load actual
0,2015-01-01 00:00,272.9657757982949,79.79876395839092,2.8337952260858947,25385.0
1,2015-01-01 01:00,272.97212920910727,79.79876395839092,2.8337952260858947,24382.0
2,2015-01-01 02:00,272.33610784462536,79.98529057216473,2.923426287232032,22734.0
3,2015-01-01 03:00,272.33321534123314,79.98529057216473,2.923426287232032,21286.0
4,2015-01-01 04:00,272.35009731481307,79.98529057216473,2.923426287232032,20264.0
5,2015-01-01 05:00,271.9232789912359,79.84345450350622,2.2791155295699568,19905.0
6,2015-01-01 06:00,271.93357009574186,79.84345450350622,2.2791155295699568,20010.0
7,2015-01-01 07:00,272.0197880119806,79.72379049762314,2.2791155295699568,20377.0
8,2015-01-01 08:00,273.9233997583192,79.86584436843084,1.4032119071939164,20094.0
9,2015-01-01 09:00,273.9843087373136,79.80601236548931,1.4032119071939164,20637.0
10,2015-01-01 10:00,274.2931615364979,78.37004429489234,1.4032119071939164,22250.0
11,2015-01-01 11:00,282.57861706409,74.06647854279869,1.5784266452392706,23547.0
12,2015-01-01 12:00,282.80482129996096,73.10916649573406,1.5784266452392706,24133.0
13,2015-01-01 13:00,282.71526214030786,73.767318528091,1.5784266452392706,24713.0
14,2015-01-01 14:00,283.71635404314947,52.081851581152506,1.8940311834105092,24672.0
15,2015-01-01 15:00,284.3125685257148,50.77012435937747,2.0621963496175315,23528.0
16,2015-01-01 16:00,280.8458018244302,65.95667582035253,2.1220283525590715,23118.0
17,2015-01-01 17:00,282.79631852167563,59.151316688360396,2.377800887788771,23606.0
18,2015-01-01 18:00,280.68388053907927,68.48047119517574,2.377800887788771,26447.0
19,2015-01-01 19:00,279.17025382457365,68.02878643386626,2.1220283525590715,28020.0
20,2015-01-01 20:00,276.92848287606984,79.69374106495218,2.3500255217076336,29014.0
21,2015-01-01 21:00,275.28552593338713,81.18631601788955,2.0344209835363944,29571.0
22,2015-01-01 22:00,275.3056893183784,81.06665201200643,2.0344209835363944,29031.0
23,2015-01-01 23:00,273.871825406914,81.31908170509222,1.4032119071939164,26798.0
24,2015-01-02 00:00,273.8675979019562,81.31908170509222,1.463043910135456,27070.0
25,2015-01-02 01:00,273.8094318463465,81.37891370803375,1.4032119071939164,24935.0
26,2015-01-02 02:00,273.1436703589784,81.55412844607909,1.4908192762165935,23214.0
27,2015-01-02 03:00,273.1034819505027,81.55412844607909,1.4908192762165935,22540.0
28,2015-01-02 04:00,273.1054171418478,81.61396044902064,1.4908192762165935,22096.0
29,2015-01-02 05:00,272.6315407434613,80.51203901667806,1.1752147380453544,22066.0
30,2015-01-02 06:00,272.6194341116161,80.57187101961959,1.1752147380453544,22275.0
31,2015-01-02 07:00,272.70335784449213,80.45220701373654,1.1752147380453544,23025.0
32,2015-01-02 08:00,274.9064409477204,81.10342552394448,1.3206304178861108,23699.0
33,2015-01-02 09:00,274.9583564287727,81.04359352100295,1.3206304178861108,25834.0
34,2015-01-02 10:00,275.2720350529441,79.72728945628906,1.3206304178861108,27927.0
35,2015-01-02 11:00,278.3513501423154,76.94315502266859,1.4908192762165935,29072.0
36,2015-01-02 12:00,281.6501911161289,62.8210594500709,1.4908192762165935,29071.0
37,2015-01-02 13:00,283.48696847132294,75.25732937669038,1.4908192762165935,29439.0
38,2015-01-02 14:00,285.4361763873235,49.157215794426136,1.4908192762165935,29241.0
39,2015-01-02 15:00,285.92335999814554,49.225950993478726,1.5784266452392706,27973.0
40,2015-01-02 16:00,282.4061243441579,67.49037387139803,1.4908192762165935,27320.0
41,2015-01-02 17:00,284.2280779127197,61.51060791012669,1.5185946422977308,27157.0
42,2015-01-02 18:00,282.0456467206804,73.27515721475672,1.4908192762165935,29045.0
43,2015-01-02 19:00,279.9314289392816,85.5915912804887,1.4908192762165935,31967.0
44,2015-01-02 20:00,278.21895541780833,84.35973414762974,1.4908192762165935,33266.0
45,2015-01-02 21:00,276.57469236749324,82.91480851685961,1.4908192762165935,33668.0
46,2015-01-02 22:00,276.57995758375205,82.97464051980116,1.4908192762165935,32426.0
47,2015-01-02 23:00,276.3057043647136,82.94888884584348,1.4908192762165935,29705.0
48,2015-01-03 00:00,275.6033539529649,83.1366809373771,1.4908192762165935,25564.0
49,2015-01-03 01:00,274.9265518064722,81.14768046476142,1.8064238143878324,23584.0
50,2015-01-03 02:00,274.67504432389575,81.55817583032601,1.8064238143878324,22194.0
51,2015-01-03 03:00,274.1774762898843,80.20833986220931,1.718816445365155,21296.0
52,2015-01-03 04:00,274.17350681043916,80.20833986220931,1.718816445365155,21145.0
53,2015-01-03 05:00,274.1724607704831,80.14850785926777,1.864232125205912,21316.0
54,2015-01-03 06:00,273.622459589007,79.66936008022131,1.4726917151821242,21674.0
55,2015-01-03 07:00,273.66716531370486,79.5496960743382,1.4726917151821242,22127.0
56,2015-01-03 08:00,274.20886448808096,79.31869671759824,1.4726917151821242,22756.0
57,2015-01-03 09:00,275.73228665167926,81.81109727892593,1.864232125205912,24654.0
58,2015-01-03 10:00,276.01925215628745,80.67428922303667,1.864232125205912,26454.0
59,2015-01-03 11:00,284.17184196056917,77.85808206817265,1.94016799705846,26959.0
60,2015-01-03 12:00,284.37271856169485,77.08026602993262,1.94016799705846,26716.0
61,2015-01-03 13:00,284.3017185414543,77.73841806228958,1.94016799705846,26802.0
62,2015-01-03 14:00,284.5932200597855,76.48194600051724,1.94016799705846,26416.0
63,2015-01-03 15:00,286.98956028951426,71.22708364536459,1.6362349560573501,25362.0
64,2015-01-03 16:00,285.31776029972696,72.72195117057991,1.3206304178861108,24770.0
