,Total_loads
,11
date,
2015-01-01,23547.0
2015-01-02,29072.0
2015-01-03,26959.0
2015-01-04,30772.0
2015-01-05,24429.0
2015-01-06,31409.0
2015-01-07,34796.0
2015-01-08,28448.0
2015-01-09,34144.0
2015-01-10,30856.0
2015-01-11,24238.0
2015-01-12,34588.0
2015-01-13,36296.0
2015-01-14,36048.0
2015-01-15,35996.0
2015-01-16,36335.0
2015-01-17,32480.0
2015-01-18,29913.0
2015-01-19,38341.0
2015-01-20,38499.0
2015-01-21,38655.0
2015-01-22,38054.0
2015-01-23,37823.0
2015-01-24,33373.0
2015-01-25,29101.0
2015-01-26,37201.0
2015-01-27,37040.0
2015-01-28,36794.0
2015-01-29,36216.0
2015-01-30,36200.0
2015-01-31,32130.0
2015-02-01,32358.0
2015-02-02,37733.0
2015-02-03,33672.0
2015-02-04,26351.0
2015-02-05,26665.0
2015-02-06,32661.0
2015-02-07,34767.0
2015-02-08,25268.0
2015-02-09,33759.0
2015-02-10,31250.0
2015-02-11,29737.0
2015-02-12,34331.0
2015-02-13,36634.0
2015-02-14,32611.0
2015-02-15,28630.0
2015-02-16,35269.0
2015-02-17,36559.0
2015-02-18,36559.0
2015-02-19,35331.0
2015-02-20,36019.0
2015-02-21,32341.0
2015-02-22,28597.0
2015-02-23,35837.0
2015-02-24,35984.0
2015-02-25,35730.0
2015-02-26,34666.0
2015-02-27,34367.0
2015-02-28,30287.0
2015-03-01,30495.0
2015-03-02,37765.0
2015-03-03,33314.0
2015-03-04,23012.0
2015-03-05,24525.0
2015-03-06,32810.0
2015-03-07,35728.0
2015-03-08,34584.0
2015-03-09,32728.0
2015-03-10,27731.0
2015-03-11,31869.0
2015-03-12,33967.0
2015-03-13,32904.0
2015-03-14,30223.0
2015-03-15,26794.0
2015-03-16,34580.0
2015-03-17,34362.0
2015-03-18,35258.0
2015-03-19,32076.0
2015-03-20,34151.0
2015-03-21,30834.0
2015-03-22,27444.0
2015-03-23,35169.0
2015-03-24,35974.0
2015-03-25,35066.0
2015-03-26,34903.0
2015-03-27,33475.0
2015-03-28,28864.0
2015-03-29,25140.0
2015-03-30,31803.0
2015-03-31,31259.0
2015-04-01,27933.0
2015-04-02,38742.0
2015-04-03,33552.0
2015-04-04,25103.0
2015-04-05,31591.0
2015-04-06,31776.0
2015-04-07,31106.0
2015-04-08,34388.0
2015-04-09,32010.0
2015-04-10,24658.0
2015-04-11,31786.0
2015-04-12,34116.0
2015-04-13,31034.0
2015-04-14,31439.0
2015-04-15,32001.0
2015-04-16,31715.0
2015-04-17,31519.0
2015-04-18,27751.0
2015-04-19,24767.0
2015-04-20,30814.0
2015-04-21,31088.0
2015-04-22,31470.0
2015-04-23,30323.0
2015-04-24,30714.0
2015-04-25,28192.0
2015-04-26,25165.0
2015-04-27,31120.0
2015-04-28,31040.0
2015-04-29,31109.0
2015-04-30,31068.0
2015-05-01,32741.0
2015-05-02,38566.0
2015-05-03,33993.0
2015-05-04,23472.0
2015-05-05,31957.0
2015-05-06,32861.0
2015-05-07,27824.0
2015-05-08,34641.0
2015-05-09,27499.0
2015-05-10,32159.0
2015-05-11,31488.0
2015-05-12,30328.0
2015-05-13,32136.0
2015-05-14,33125.0
2015-05-15,30903.0
2015-05-16,27959.0
2015-05-17,25102.0
