,Total_loads
,1
date,
2015-01-01,24382.0
2015-01-02,24935.0
2015-01-03,23584.0
2015-01-04,23620.0
2015-01-05,23390.0
2015-01-06,22354.0
2015-01-07,28484.0
2015-01-08,25146.0
2015-01-09,25750.0
2015-01-10,23505.0
2015-01-11,21033.0
2015-01-12,25272.0
2015-01-13,25750.0
2015-01-14,25764.0
2015-01-15,25617.0
2015-01-16,26119.0
2015-01-17,26782.0
2015-01-18,25227.0
2015-01-19,24650.0
2015-01-20,26475.0
2015-01-21,26868.0
2015-01-22,27137.0
2015-01-23,27253.0
2015-01-24,27485.0
2015-01-25,25569.0
2015-01-26,24631.0
2015-01-27,26315.0
2015-01-28,26815.0
2015-01-29,26313.0
2015-01-30,26636.0
2015-01-31,26851.0
2015-02-01,21881.0
2015-02-02,24609.0
2015-02-03,23007.0
2015-02-04,22718.0
2015-02-05,20879.0
2015-02-06,24329.0
2015-02-07,27027.0
2015-02-08,23668.0
2015-02-09,25614.0
2015-02-10,23485.0
2015-02-11,21063.0
2015-02-12,25266.0
2015-02-13,26802.0
2015-02-14,26689.0
2015-02-15,25048.0
2015-02-16,24066.0
2015-02-17,25887.0
2015-02-18,26074.0
2015-02-19,25854.0
2015-02-20,25902.0
2015-02-21,26017.0
2015-02-22,24723.0
2015-02-23,24048.0
2015-02-24,26059.0
2015-02-25,26092.0
2015-02-26,26102.0
2015-02-27,25775.0
2015-02-28,25645.0
2015-03-01,24723.0
2015-03-02,26977.0
2015-03-03,24285.0
2015-03-04,21052.0
2015-03-05,21739.0
2015-03-06,24928.0
2015-03-07,27247.0
2015-03-08,24316.0
2015-03-09,25313.0
2015-03-10,23419.0
2015-03-11,22481.0
2015-03-12,25416.0
2015-03-13,24497.0
2015-03-14,24615.0
2015-03-15,23002.0
2015-03-16,22803.0
2015-03-17,24962.0
2015-03-18,25028.0
2015-03-19,24904.0
2015-03-20,24536.0
2015-03-21,24605.0
2015-03-22,23278.0
2015-03-23,23034.0
2015-03-24,25005.0
2015-03-25,25180.0
2015-03-26,24994.0
2015-03-27,25407.0
2015-03-28,24746.0
2015-03-29,22123.0
2015-03-30,22195.0
2015-03-31,23748.0
2015-04-01,24299.0
2015-04-02,27495.0
2015-04-03,24337.0
2015-04-04,20648.0
2015-04-05,21583.0
2015-04-06,25253.0
2015-04-07,27413.0
2015-04-08,26027.0
2015-04-09,24907.0
2015-04-10,21624.0
2015-04-11,23192.0
2015-04-12,25228.0
2015-04-13,21845.0
2015-04-14,23251.0
2015-04-15,23666.0
2015-04-16,23604.0
2015-04-17,23759.0
2015-04-18,23707.0
2015-04-19,21967.0
2015-04-20,21590.0
2015-04-21,23307.0
2015-04-22,23590.0
2015-04-23,23396.0
2015-04-24,23152.0
2015-04-25,23554.0
2015-04-26,21746.0
2015-04-27,21819.0
2015-04-28,23210.0
2015-04-29,23204.0
2015-04-30,23594.0
2015-05-01,23591.0
2015-05-02,27491.0
2015-05-03,24868.0
2015-05-04,21047.0
2015-05-05,23821.0
2015-05-06,25139.0
2015-05-07,25894.0
2015-05-08,26321.0
2015-05-09,24011.0
2015-05-10,21944.0
2015-05-11,23128.0
2015-05-12,25432.0
2015-05-13,24127.0
2015-05-14,24909.0
2015-05-15,24858.0
2015-05-16,23837.0
2015-05-17,22239.0
2015-05-18,22176.0
2015-05-19,24204.0
2015-05-20,23820.0
2015-05-21,23648.0
2015-05-22,24112.0
2015-05-23,24069.0
2015-05-24,22267.0
2015-05-25,21944.0
2015-05-26,23845.0
2015-05-27,24097.0
2015-05-28,24211.0
2015-05-29,24704.0
2015-05-30,24173.0
2015-05-31,22325.0
2015-06-01,23940.0
2015-06-02,27564.0
2015-06-03,25226.0
2015-06-04,20416.0
2015-06-05,23523.0
2015-06-06,25221.0
2015-06-07,26040.0
2015-06-08,26487.0
2015-06-09,21997.0
2015-06-10,23633.0
2015-06-11,23193.0
2015-06-12,23421.0
2015-06-13,24243.0
2015-06-14,22086.0
2015-06-15,22083.0
2015-06-16,23568.0
2015-06-17,23951.0
2015-06-18,24387.0
2015-06-19,24918.0
2015-06-20,25154.0
2015-06-21,23601.0
2015-06-22,23772.0
2015-06-23,25544.0
2015-06-24,24745.0
2015-06-25,24854.0
2015-06-26,25860.0
2015-06-27,26608.0
2015-06-28,25106.0
2015-06-29,25623.0
2015-06-30,28084.0
2015-07-01,23341.0
2015-07-02,27917.0
2015-07-03,24891.0
2015-07-04,21788.0
2015-07-05,23653.0
2015-07-06,23274.0
2015-07-07,28546.0
2015-07-08,26710.0
2015-07-09,21709.0
2015-07-10,23384.0
2015-07-11,23011.0
2015-07-12,22850.0
2015-07-13,26176.0
2015-07-14,28331.0
2015-07-15,28485.0
2015-07-16,28833.0
2015-07-17,29249.0
2015-07-18,28532.0
2015-07-19,25785.0
2015-07-20,26289.0
2015-07-21,28872.0
2015-07-22,28891.0
2015-07-23,28630.0
2015-07-24,28881.0
2015-07-25,28196.0
2015-07-26,25142.0
2015-07-27,26101.0
2015-07-28,28034.0
2015-07-29,28605.0
