,Total_loads
,3
date,
2015-01-01,21286.0
2015-01-02,22540.0
2015-01-03,21296.0
2015-01-04,22191.0
2015-01-05,21182.0
2015-01-06,21171.0
2015-01-07,26248.0
2015-01-08,23046.0
2015-01-09,24188.0
2015-01-10,22177.0
2015-01-11,19389.0
2015-01-12,23626.0
2015-01-13,23911.0
2015-01-14,23887.0
2015-01-15,23940.0
2015-01-16,24147.0
2015-01-17,24086.0
2015-01-18,22446.0
2015-01-19,22776.0
2015-01-20,24620.0
2015-01-21,24810.0
2015-01-22,25103.0
2015-01-23,25198.0
2015-01-24,24786.0
2015-01-25,22965.0
2015-01-26,22989.0
2015-01-27,24506.0
2015-01-28,24739.0
2015-01-29,24408.0
2015-01-30,24727.0
2015-01-31,24140.0
2015-02-01,19730.0
2015-02-02,22836.0
2015-02-03,21722.0
2015-02-04,20899.0
2015-02-05,19377.0
2015-02-06,23066.0
2015-02-07,25098.0
2015-02-08,21655.0
2015-02-09,24160.0
2015-02-10,22163.0
2015-02-11,19892.0
2015-02-12,23600.0
2015-02-13,24620.0
2015-02-14,24086.0
2015-02-15,22809.0
2015-02-16,22366.0
2015-02-17,24157.0
2015-02-18,24433.0
2015-02-19,24175.0
2015-02-20,23970.0
2015-02-21,23533.0
2015-02-22,22234.0
2015-02-23,22440.0
2015-02-24,24419.0
2015-02-25,24489.0
2015-02-26,24385.0
2015-02-27,24159.0
2015-02-28,23214.0
2015-03-01,21963.0
2015-03-02,24982.0
2015-03-03,22800.0
2015-03-04,19371.0
2015-03-05,19963.0
2015-03-06,23593.0
2015-03-07,25239.0
2015-03-08,22471.0
2015-03-09,23668.0
2015-03-10,21614.0
2015-03-11,21336.0
2015-03-12,23665.0
2015-03-13,22967.0
2015-03-14,22672.0
2015-03-15,21097.0
2015-03-16,21579.0
2015-03-17,23554.0
2015-03-18,23391.0
2015-03-19,23250.0
2015-03-20,22587.0
2015-03-21,22484.0
2015-03-22,21127.0
2015-03-23,21435.0
2015-03-24,23452.0
2015-03-25,23538.0
2015-03-26,23375.0
2015-03-27,23336.0
2015-03-28,22753.0
2015-03-29,20906.0
2015-03-30,20836.0
2015-03-31,22054.0
2015-04-01,21480.0
2015-04-02,25550.0
2015-04-03,22960.0
2015-04-04,19075.0
2015-04-05,28696.93990521868
2015-04-06,23768.0
2015-04-07,24796.0
2015-04-08,24086.0
2015-04-09,23302.0
2015-04-10,19956.0
2015-04-11,21932.0
2015-04-12,23446.0
2015-04-13,20782.0
2015-04-14,21929.0
2015-04-15,22452.0
2015-04-16,22218.0
2015-04-17,22266.0
2015-04-18,21917.0
2015-04-19,20154.0
2015-04-20,20383.0
2015-04-21,22076.0
2015-04-22,22157.0
2015-04-23,22041.0
2015-04-24,21623.0
2015-04-25,21914.0
2015-04-26,20286.0
2015-04-27,20576.0
2015-04-28,22074.0
2015-04-29,21956.0
2015-04-30,22316.0
2015-05-01,21350.0
