,Total_loads
,14
date,
2015-01-01,24672.0
2015-01-02,29241.0
2015-01-03,26416.0
2015-01-04,28741.0
2015-01-05,28696.93990521868
2015-01-06,31193.0
2015-01-07,35605.0
2015-01-08,29026.0
2015-01-09,34579.0
2015-01-10,30458.0
2015-01-11,24477.0
2015-01-12,32884.0
2015-01-13,33895.0
2015-01-14,33909.0
2015-01-15,34028.0
2015-01-16,34322.0
2015-01-17,30894.0
2015-01-18,30854.0
2015-01-19,36560.0
2015-01-20,36846.0
2015-01-21,36868.0
2015-01-22,36419.0
2015-01-23,35443.0
2015-01-24,31782.0
2015-01-25,28869.0
2015-01-26,35058.0
2015-01-27,34932.0
2015-01-28,34343.0
2015-01-29,34750.0
2015-01-30,34533.0
2015-01-31,30788.0
2015-02-01,28696.93990521868
2015-02-02,36417.0
2015-02-03,32019.0
2015-02-04,25402.0
2015-02-05,26541.0
2015-02-06,32582.0
2015-02-07,35765.0
2015-02-08,27234.0
2015-02-09,33635.0
2015-02-10,30491.0
2015-02-11,29466.0
2015-02-12,33053.0
2015-02-13,34115.0
2015-02-14,31385.0
2015-02-15,28688.0
2015-02-16,33880.0
2015-02-17,34843.0
2015-02-18,34748.0
2015-02-19,33342.0
2015-02-20,33577.0
2015-02-21,30823.0
2015-02-22,28020.0
2015-02-23,34148.0
2015-02-24,34328.0
2015-02-25,34110.0
2015-02-26,33320.0
2015-02-27,32453.0
2015-02-28,28644.0
2015-03-01,29268.0
2015-03-02,36208.0
2015-03-03,31615.0
2015-03-04,22744.0
2015-03-05,24790.0
2015-03-06,32802.0
2015-03-07,36437.0
2015-03-08,35671.0
2015-03-09,32357.0
2015-03-10,27197.0
2015-03-11,30722.0
2015-03-12,32332.0
2015-03-13,31062.0
2015-03-14,28748.0
2015-03-15,26830.0
2015-03-16,32436.0
2015-03-17,32803.0
2015-03-18,33711.0
2015-03-19,30869.0
2015-03-20,32754.0
2015-03-21,29919.0
2015-03-22,27724.0
2015-03-23,33894.0
2015-03-24,34143.0
2015-03-25,33298.0
2015-03-26,32921.0
2015-03-27,31884.0
2015-03-28,27293.0
2015-03-29,24966.0
2015-03-30,30516.0
2015-03-31,30120.0
2015-04-01,27769.0
2015-04-02,37091.0
2015-04-03,31983.0
2015-04-04,24714.0
2015-04-05,30823.0
2015-04-06,31820.0
2015-04-07,32117.0
2015-04-08,35143.0
2015-04-09,31237.0
2015-04-10,25323.0
2015-04-11,30462.0
2015-04-12,32263.0
2015-04-13,30134.0
2015-04-14,30475.0
2015-04-15,30868.0
2015-04-16,30455.0
2015-04-17,30104.0
2015-04-18,27035.0
2015-04-19,24873.0
2015-04-20,29977.0
2015-04-21,30146.0
2015-04-22,29955.0
2015-04-23,29208.0
2015-04-24,29979.0
2015-04-25,27243.0
2015-04-26,25495.0
2015-04-27,30244.0
2015-04-28,29865.0
2015-04-29,30046.0
2015-04-30,30187.0
2015-05-01,30864.0
2015-05-02,36718.0
2015-05-03,32156.0
2015-05-04,23203.0
2015-05-05,30788.0
2015-05-06,32539.0
2015-05-07,30452.0
2015-05-08,35647.0
2015-05-09,27219.0
2015-05-10,31292.0
2015-05-11,30298.0
2015-05-12,28878.0
2015-05-13,32305.0
2015-05-14,33101.0
2015-05-15,30194.0
2015-05-16,27341.0
2015-05-17,25432.0
2015-05-18,31321.0
2015-05-19,31034.0
2015-05-20,30221.0
2015-05-21,29869.0
2015-05-22,30136.0
2015-05-23,27127.0
2015-05-24,24642.0
2015-05-25,30158.0
2015-05-26,30873.0
2015-05-27,31147.0
2015-05-28,31654.0
2015-05-29,31156.0
2015-05-30,27706.0
2015-05-31,25321.0
2015-06-01,26154.0
2015-06-02,36847.0
2015-06-03,31691.0
2015-06-04,26275.0
2015-06-05,30589.0
2015-06-06,29334.0
2015-06-07,38572.0
2015-06-08,35675.0
2015-06-09,24933.0
2015-06-10,31143.0
2015-06-11,30242.0
2015-06-12,26631.0
2015-06-13,27541.0
2015-06-14,25045.0
2015-06-15,30578.0
2015-06-16,30430.0
2015-06-17,30813.0
2015-06-18,31452.0
2015-06-19,32136.0
2015-06-20,29264.0
2015-06-21,26763.0
2015-06-22,33406.0
2015-06-23,32926.0
2015-06-24,30415.0
2015-06-25,33393.0
2015-06-26,34415.0
2015-06-27,31476.0
2015-06-28,29015.0
2015-06-29,36533.0
