,Total_loads
,17
date,
2015-01-01,23606.0
2015-01-02,27157.0
2015-01-03,24501.0
2015-01-04,27908.0
2015-01-05,28696.93990521868
2015-01-06,30799.0
2015-01-07,36195.0
2015-01-08,27654.0
2015-01-09,33696.0
2015-01-10,29929.0
2015-01-11,23049.0
2015-01-12,33509.0
2015-01-13,33542.0
2015-01-14,33811.0
2015-01-15,34151.0
2015-01-16,33784.0
2015-01-17,29191.0
2015-01-18,28926.0
2015-01-19,36229.0
2015-01-20,36890.0
2015-01-21,37061.0
2015-01-22,36254.0
2015-01-23,34756.0
2015-01-24,29777.0
2015-01-25,26878.0
2015-01-26,34829.0
2015-01-27,34499.0
2015-01-28,33837.0
2015-01-29,34695.0
2015-01-30,33987.0
2015-01-31,28705.0
2015-02-01,28696.93990521868
2015-02-02,36047.0
2015-02-03,30570.0
2015-02-04,23464.0
2015-02-05,24259.0
2015-02-06,32520.0
2015-02-07,35250.0
2015-02-08,26216.0
2015-02-09,32888.0
2015-02-10,29359.0
2015-02-11,28326.0
2015-02-12,33504.0
2015-02-13,33159.0
2015-02-14,29151.0
2015-02-15,26137.0
2015-02-16,32973.0
2015-02-17,34091.0
2015-02-18,33820.0
2015-02-19,32733.0
2015-02-20,32581.0
2015-02-21,28375.0
2015-02-22,25759.0
2015-02-23,33203.0
2015-02-24,33580.0
2015-02-25,33159.0
2015-02-26,32528.0
2015-02-27,31054.0
2015-02-28,26609.0
2015-03-01,28102.0
2015-03-02,36193.0
2015-03-03,30397.0
2015-03-04,21062.0
2015-03-05,22801.0
2015-03-06,32794.0
2015-03-07,35744.0
2015-03-08,34571.0
2015-03-09,31760.0
2015-03-10,24870.0
2015-03-11,30200.0
2015-03-12,32890.0
2015-03-13,29551.0
2015-03-14,26308.0
2015-03-15,24658.0
2015-03-16,31001.0
2015-03-17,31834.0
2015-03-18,32664.0
2015-03-19,29590.0
2015-03-20,31213.0
2015-03-21,27583.0
2015-03-22,25604.0
2015-03-23,33034.0
2015-03-24,32851.0
2015-03-25,32564.0
2015-03-26,32139.0
2015-03-27,30348.0
2015-03-28,25290.0
2015-03-29,23289.0
2015-03-30,28766.0
2015-03-31,28699.0
2015-04-01,26508.0
2015-04-02,36928.0
2015-04-03,30948.0
2015-04-04,22937.0
2015-04-05,29990.0
2015-04-06,31689.0
2015-04-07,30904.0
2015-04-08,34408.0
2015-04-09,30036.0
2015-04-10,23197.0
2015-04-11,30114.0
2015-04-12,32235.0
2015-04-13,28719.0
2015-04-14,29442.0
2015-04-15,29628.0
2015-04-16,29368.0
2015-04-17,28822.0
2015-04-18,24564.0
2015-04-19,22508.0
2015-04-20,28888.0
2015-04-21,29044.0
2015-04-22,28751.0
2015-04-23,28195.0
2015-04-24,28653.0
2015-04-25,24711.0
2015-04-26,23127.0
2015-04-27,29291.0
2015-04-28,28821.0
2015-04-29,29314.0
2015-04-30,29509.0
2015-05-01,29469.0
2015-05-02,36284.0
2015-05-03,30749.0
2015-05-04,21284.0
2015-05-05,29977.0
2015-05-06,32097.0
2015-05-07,29312.0
2015-05-08,34819.0
2015-05-09,25213.0
2015-05-10,30458.0
2015-05-11,29773.0
2015-05-12,27824.0
2015-05-13,32472.0
2015-05-14,33024.0
2015-05-15,29336.0
2015-05-16,25223.0
2015-05-17,23487.0
2015-05-18,30987.0
2015-05-19,30409.0
2015-05-20,29419.0
2015-05-21,29261.0
2015-05-22,29173.0
2015-05-23,25096.0
2015-05-24,22498.0
2015-05-25,29459.0
2015-05-26,30284.0
2015-05-27,30643.0
2015-05-28,31391.0
2015-05-29,30184.0
2015-05-30,25606.0
2015-05-31,23474.0
2015-06-01,24812.0
2015-06-02,36294.0
2015-06-03,30146.0
2015-06-04,24496.0
2015-06-05,29815.0
2015-06-06,27502.0
2015-06-07,38364.0
2015-06-08,34887.0
2015-06-09,22905.0
2015-06-10,30313.0
2015-06-11,29293.0
2015-06-12,25517.0
2015-06-13,25402.0
2015-06-14,23000.0
2015-06-15,29668.0
2015-06-16,29667.0
2015-06-17,30347.0
2015-06-18,31139.0
2015-06-19,31457.0
2015-06-20,27601.0
2015-06-21,25221.0
2015-06-22,32948.0
2015-06-23,31844.0
2015-06-24,29557.0
2015-06-25,33157.0
2015-06-26,33534.0
2015-06-27,29975.0
2015-06-28,27814.0
2015-06-29,36539.0
2015-06-30,36618.0
2015-07-01,34366.0
2015-07-02,32009.0
2015-07-03,25388.0
2015-07-04,28985.0
2015-07-05,30128.0
2015-07-06,25231.0
2015-07-07,39068.0
2015-07-08,34975.0
2015-07-09,29722.0
2015-07-10,29390.0
2015-07-11,24540.0
2015-07-12,28229.0
2015-07-13,37337.0
2015-07-14,37994.0
2015-07-15,38192.0
2015-07-16,38039.0
2015-07-17,37283.0
2015-07-18,31317.0
2015-07-19,28516.0
2015-07-20,38342.0
2015-07-21,38758.0
2015-07-22,37585.0
2015-07-23,37961.0
2015-07-24,36956.0
2015-07-25,29831.0
2015-07-26,28276.0
2015-07-27,36574.0
2015-07-28,36821.0
2015-07-29,37421.0
2015-07-30,35211.0
2015-07-31,32619.0
2015-08-01,34636.0
2015-08-02,28367.0
2015-08-03,23597.0
2015-08-04,29440.0
2015-08-05,30210.0
2015-08-06,33308.0
2015-08-07,38329.0
2015-08-08,28578.0
2015-08-09,29427.0
2015-08-10,29083.0
2015-08-11,22773.0
2015-08-12,26323.0
2015-08-13,31845.0
2015-08-14,29388.0
2015-08-15,24089.0
2015-08-16,23583.0
2015-08-17,29769.0
2015-08-18,29511.0
2015-08-19,30171.0
2015-08-20,31601.0
2015-08-21,31932.0
2015-08-22,27258.0
2015-08-23,24717.0
2015-08-24,30067.0
2015-08-25,30917.0
2015-08-26,32192.0
2015-08-27,33143.0
2015-08-28,33089.0
2015-08-29,28899.0
2015-08-30,27142.0
2015-08-31,34636.0
2015-09-01,33328.0
2015-09-02,35904.0
2015-09-03,29938.0
2015-09-04,30125.0
2015-09-05,25472.0
2015-09-06,32796.0
2015-09-07,37184.0
2015-09-08,25430.0
2015-09-09,30582.0
2015-09-10,28081.0
2015-09-11,28924.0
2015-09-12,32963.0
2015-09-13,23477.0
2015-09-14,29917.0
2015-09-15,30377.0
2015-09-16,30885.0
2015-09-17,29783.0
2015-09-18,29504.0
2015-09-19,25059.0
2015-09-20,23152.0
2015-09-21,30785.0
2015-09-22,31377.0
2015-09-23,30330.0
2015-09-24,30014.0
2015-09-25,29865.0
2015-09-26,25167.0
2015-09-27,23052.0
2015-09-28,30095.0
2015-09-29,29796.0
2015-09-30,29654.0
2015-10-01,28708.0
2015-10-02,35763.0
2015-10-03,30089.0
2015-10-04,29027.0
2015-10-05,23511.0
2015-10-06,32733.0
2015-10-07,36347.0
2015-10-08,32872.0
2015-10-09,30892.0
2015-10-10,24376.0
2015-10-11,29719.0
2015-10-12,32860.0
2015-10-13,29077.0
2015-10-14,28819.0
2015-10-15,29011.0
2015-10-16,28873.0
2015-10-17,24969.0
2015-10-18,22808.0
2015-10-19,29651.0
2015-10-20,29498.0
2015-10-21,29056.0
2015-10-22,28979.0
2015-10-23,28918.0
2015-10-24,24415.0
2015-10-25,22713.0
2015-10-26,29662.0
2015-10-27,29976.0
2015-10-28,29869.0
2015-10-29,29875.0
2015-10-30,29145.0
2015-10-31,24794.0
2015-11-01,26455.0
2015-11-02,35355.0
2015-11-03,29786.0
2015-11-04,25303.0
2015-11-05,30874.0
2015-11-06,31366.0
2015-11-07,30751.0
2015-11-08,32791.0
2015-11-09,29063.0
2015-11-10,22320.0
2015-11-11,29805.0
2015-11-12,32516.0
2015-11-13,29393.0
2015-11-14,24811.0
2015-11-15,23029.0
2015-11-16,30130.0
2015-11-17,30596.0
2015-11-18,30508.0
2015-11-19,30740.0
2015-11-20,30393.0
2015-11-21,26476.0
2015-11-22,25005.0
2015-11-23,33036.0
2015-11-24,34178.0
2015-11-25,33331.0
2015-11-26,32913.0
2015-11-27,31736.0
2015-11-28,27293.0
2015-11-29,25601.0
2015-11-30,33049.0
2015-12-01,33686.0
2015-12-02,35318.0
2015-12-03,29770.0
2015-12-04,23257.0
2015-12-05,31656.0
2015-12-06,30545.0
2015-12-07,28314.0
2015-12-08,33076.0
2015-12-09,25604.0
2015-12-10,23024.0
2015-12-11,29876.0
2015-12-12,28469.0
2015-12-13,26673.0
2015-12-14,33784.0
2015-12-15,33017.0
2015-12-16,32737.0
2015-12-17,32524.0
2015-12-18,31400.0
2015-12-19,27584.0
2015-12-20,25817.0
2015-12-21,31469.0
2015-12-22,31682.0
2015-12-23,31179.0
2015-12-24,26272.0
2015-12-25,21233.0
2015-12-26,25078.0
2015-12-27,24452.0
2015-12-28,30011.0
2015-12-29,28855.0
2015-12-30,29026.0
2015-12-31,26141.0
2016-01-01,21830.0
2016-01-02,31175.0
2016-01-03,31824.0
2016-01-04,29633.0
2016-01-05,21233.0
2016-01-06,29924.0
2016-01-07,33510.0
2016-01-08,34101.0
2016-01-09,35529.0
2016-01-10,25559.0
2016-01-11,23000.0
2016-01-12,33961.0
2016-01-13,33652.0
2016-01-14,34137.0
2016-01-15,33189.0
2016-01-16,28691.0
2016-01-17,27845.0
2016-01-18,34665.0
2016-01-19,34591.0
2016-01-20,34107.0
2016-01-21,34504.0
2016-01-22,32907.0
2016-01-23,27264.0
2016-01-24,25271.0
2016-01-25,31960.0
2016-01-26,32359.0
2016-01-27,32402.0
2016-01-28,33062.0
2016-01-29,32049.0
2016-01-30,27155.0
2016-01-31,25161.0
2016-02-01,25447.0
2016-02-02,31669.0
2016-02-03,31795.0
2016-02-04,25852.0
2016-02-05,26458.0
2016-02-06,30481.0
2016-02-07,28888.0
2016-02-08,34801.0
2016-02-09,35593.0
2016-02-10,23501.0
2016-02-11,29747.0
2016-02-12,32863.0
2016-02-13,27751.0
2016-02-14,25970.0
2016-02-15,33339.0
2016-02-16,33229.0
2016-02-17,34170.0
2016-02-18,34794.0
2016-02-19,32973.0
2016-02-20,27721.0
2016-02-21,25713.0
2016-02-22,31690.0
2016-02-23,31304.0
2016-02-24,32208.0
2016-02-25,31971.0
2016-02-26,33249.0
2016-02-27,29182.0
2016-02-28,26448.0
2016-02-29,31655.0
2016-03-01,25821.0
2016-03-02,31797.0
2016-03-03,31507.0
2016-03-04,24311.0
2016-03-05,28911.0
2016-03-06,30166.0
2016-03-07,27177.0
2016-03-08,35290.0
2016-03-09,31215.0
2016-03-10,30735.0
2016-03-11,29898.0
2016-03-12,28751.0
2016-03-13,24823.0
2016-03-14,32304.0
2016-03-15,32472.0
2016-03-16,31788.0
2016-03-17,31947.0
2016-03-18,31696.0
2016-03-19,26803.0
2016-03-20,24919.0
2016-03-21,31739.0
2016-03-22,30957.0
2016-03-23,29824.0
2016-03-24,24341.0
2016-03-25,23028.0
2016-03-26,24502.0
2016-03-27,22441.0
2016-03-28,26210.0
2016-03-29,29483.0
2016-03-30,29262.0
2016-03-31,30255.0
2016-04-01,30626.0
2016-04-02,31769.0
2016-04-03,31805.0
2016-04-04,31706.0
2016-04-05,29304.0
2016-04-06,25313.0
2016-04-07,34452.0
2016-04-08,35192.0
2016-04-09,29619.0
2016-04-10,31207.0
2016-04-11,30660.0
2016-04-12,26999.0
2016-04-13,30483.0
2016-04-14,30297.0
2016-04-15,29721.0
2016-04-16,25619.0
2016-04-17,23281.0
2016-04-18,29505.0
2016-04-19,30686.0
2016-04-20,30553.0
2016-04-21,29731.0
2016-04-22,29074.0
2016-04-23,24648.0
2016-04-24,22500.0
2016-04-25,28749.0
2016-04-26,29185.0
2016-04-27,29482.0
2016-04-28,29485.0
2016-04-29,28870.0
2016-04-30,24775.0
2016-05-01,29377.0
2016-05-02,31501.0
2016-05-03,27193.0
2016-05-04,31617.0
2016-05-05,29410.0
2016-05-06,23376.0
2016-05-07,35116.0
2016-05-08,33137.0
2016-05-09,38918.0
2016-05-10,31105.0
2016-05-11,25853.0
2016-05-12,31560.0
2016-05-13,29099.0
2016-05-14,24694.0
2016-05-15,21946.0
2016-05-16,26444.0
2016-05-17,28504.0
2016-05-18,29782.0
2016-05-19,29496.0
2016-05-20,29532.0
2016-05-21,25484.0
2016-05-22,22934.0
2016-05-23,29067.0
2016-05-24,29784.0
2016-05-25,30048.0
2016-05-26,29882.0
2016-05-27,29478.0
2016-05-28,25291.0
2016-05-29,22615.0
2016-05-30,29378.0
2016-05-31,29398.0
2016-06-01,24744.0
2016-06-02,27815.0
2016-06-03,25328.0
2016-06-04,30050.0
2016-06-05,29003.0
2016-06-06,30988.0
2016-06-07,35499.0
2016-06-08,28854.0
2016-06-09,39510.0
2016-06-10,30884.0
2016-06-11,23498.0
2016-06-12,27236.0
2016-06-13,33838.0
2016-06-14,33361.0
2016-06-15,31783.0
2016-06-16,29840.0
2016-06-17,29317.0
2016-06-18,25422.0
2016-06-19,23523.0
2016-06-20,30972.0
2016-06-21,32576.0
2016-06-22,32701.0
2016-06-23,32504.0
2016-06-24,29968.0
2016-06-25,27958.0
2016-06-26,25000.0
2016-06-27,33129.0
2016-06-28,34220.0
2016-06-29,34057.0
2016-06-30,34347.0
2016-07-01,32808.0
2016-07-02,25655.0
2016-07-03,33863.0
2016-07-04,30131.0
2016-07-05,24756.0
2016-07-06,32282.0
2016-07-07,34129.0
2016-07-08,26380.0
2016-07-09,38667.0
2016-07-10,29629.0
2016-07-11,30768.0
2016-07-12,31460.0
2016-07-13,33812.0
2016-07-14,33406.0
2016-07-15,32447.0
2016-07-16,28445.0
2016-07-17,26554.0
2016-07-18,34978.0
2016-07-19,35672.0
2016-07-20,36193.0
2016-07-21,36068.0
2016-07-22,34205.0
2016-07-23,28666.0
2016-07-24,26456.0
2016-07-25,33161.0
2016-07-26,36456.0
2016-07-27,36240.0
2016-07-28,36343.0
2016-07-29,35538.0
2016-07-30,30604.0
2016-07-31,27473.0
2016-08-01,31687.0
2016-08-02,32124.0
2016-08-03,32891.0
2016-08-04,30040.0
2016-08-05,23031.0
2016-08-06,33360.0
2016-08-07,34670.0
2016-08-08,33398.0
2016-08-09,35365.0
2016-08-10,25118.0
2016-08-11,31692.0
2016-08-12,26775.0
2016-08-13,27516.0
2016-08-14,25218.0
2016-08-15,26212.0
2016-08-16,31436.0
2016-08-17,31711.0
2016-08-18,32464.0
2016-08-19,32452.0
2016-08-20,28841.0
