,Total_loads
,22
date,
2015-01-01,29031.0
2015-01-02,32426.0
2015-01-03,28979.0
2015-01-04,28190.0
2015-01-05,25381.0
2015-01-06,29978.0
2015-01-07,32697.0
2015-01-08,28221.0
2015-01-09,31420.0
2015-01-10,28690.0
2015-01-11,25889.0
2015-01-12,32932.0
2015-01-13,33972.0
2015-01-14,33939.0
2015-01-15,33848.0
2015-01-16,33847.0
2015-01-17,32324.0
2015-01-18,32608.0
2015-01-19,35179.0
2015-01-20,36258.0
2015-01-21,36267.0
2015-01-22,36062.0
2015-01-23,35332.0
2015-01-24,33050.0
2015-01-25,32749.0
2015-01-26,35187.0
2015-01-27,35153.0
2015-01-28,34487.0
2015-01-29,34593.0
2015-01-30,33421.0
2015-01-31,31484.0
2015-02-01,32324.0
2015-02-02,35104.0
2015-02-03,30865.0
2015-02-04,25825.0
2015-02-05,26483.0
2015-02-06,30679.0
2015-02-07,32790.0
2015-02-08,29242.0
2015-02-09,30915.0
2015-02-10,28158.0
2015-02-11,27950.0
2015-02-12,32890.0
2015-02-13,33902.0
2015-02-14,30996.0
2015-02-15,30715.0
2015-02-16,33475.0
2015-02-17,34270.0
2015-02-18,33805.0
2015-02-19,33904.0
2015-02-20,33186.0
2015-02-21,31303.0
2015-02-22,30994.0
2015-02-23,33557.0
2015-02-24,34031.0
2015-02-25,33674.0
2015-02-26,32844.0
2015-02-27,31964.0
2015-02-28,29622.0
2015-03-01,31532.0
2015-03-02,35607.0
2015-03-03,31047.0
2015-03-04,24718.0
2015-03-05,26623.0
2015-03-06,30780.0
2015-03-07,32358.0
2015-03-08,32270.0
2015-03-09,30037.0
2015-03-10,26179.0
2015-03-11,29103.0
2015-03-12,32535.0
2015-03-13,30451.0
2015-03-14,29274.0
2015-03-15,29482.0
2015-03-16,32204.0
2015-03-17,32360.0
2015-03-18,32150.0
2015-03-19,31247.0
2015-03-20,31409.0
2015-03-21,29669.0
2015-03-22,29515.0
2015-03-23,32645.0
2015-03-24,32924.0
2015-03-25,32722.0
2015-03-26,32667.0
2015-03-27,31169.0
2015-03-28,27946.0
2015-03-29,27455.0
2015-03-30,29261.0
2015-03-31,29094.0
2015-04-01,31115.0
2015-04-02,36332.0
2015-04-03,31735.0
2015-04-04,26087.0
2015-04-05,29683.0
2015-04-06,30462.0
2015-04-07,30677.0
2015-04-08,32419.0
2015-04-09,28676.0
2015-04-10,26637.0
2015-04-11,29126.0
2015-04-12,31900.0
2015-04-13,29393.0
2015-04-14,29646.0
2015-04-15,29850.0
2015-04-16,30037.0
2015-04-17,29085.0
2015-04-18,27115.0
2015-04-19,27126.0
2015-04-20,29388.0
2015-04-21,29320.0
2015-04-22,28944.0
2015-04-23,28899.0
2015-04-24,28694.0
2015-04-25,26883.0
2015-04-26,27002.0
2015-04-27,29319.0
2015-04-28,29566.0
2015-04-29,29454.0
2015-04-30,29053.0
2015-05-01,30365.0
2015-05-02,36447.0
2015-05-03,32087.0
2015-05-04,25928.0
