,Total_loads
,21
date,
2015-01-01,29571.0
2015-01-02,33668.0
2015-01-03,29874.0
2015-01-04,30346.0
2015-01-05,25604.0
2015-01-06,30747.0
2015-01-07,33716.0
2015-01-08,28222.0
2015-01-09,33976.0
2015-01-10,31900.0
2015-01-11,27025.0
2015-01-12,35823.0
2015-01-13,36831.0
2015-01-14,36809.0
2015-01-15,36325.0
2015-01-16,36015.0
2015-01-17,33741.0
2015-01-18,33891.0
2015-01-19,38082.0
2015-01-20,39208.0
2015-01-21,39146.0
2015-01-22,38886.0
2015-01-23,37708.0
2015-01-24,34494.0
2015-01-25,33845.0
2015-01-26,37993.0
2015-01-27,37819.0
2015-01-28,37183.0
2015-01-29,37247.0
2015-01-30,35407.0
2015-01-31,32984.0
2015-02-01,33851.0
2015-02-02,37941.0
2015-02-03,33375.0
2015-02-04,27048.0
2015-02-05,27081.0
2015-02-06,31449.0
2015-02-07,32981.0
2015-02-08,28108.0
2015-02-09,33393.0
2015-02-10,31045.0
2015-02-11,30380.0
2015-02-12,35498.0
2015-02-13,36012.0
2015-02-14,32322.0
2015-02-15,31536.0
2015-02-16,35898.0
2015-02-17,36984.0
2015-02-18,36397.0
2015-02-19,36344.0
2015-02-20,35457.0
2015-02-21,32920.0
2015-02-22,32213.0
2015-02-23,36279.0
2015-02-24,36718.0
2015-02-25,36245.0
2015-02-26,35306.0
2015-02-27,33742.0
2015-02-28,30644.0
2015-03-01,32875.0
2015-03-02,38351.0
2015-03-03,33596.0
2015-03-04,25521.0
2015-03-05,27117.0
2015-03-06,31563.0
2015-03-07,32808.0
2015-03-08,32815.0
2015-03-09,32449.0
2015-03-10,28063.0
2015-03-11,31957.0
2015-03-12,35001.0
2015-03-13,32700.0
2015-03-14,30836.0
2015-03-15,30791.0
2015-03-16,34781.0
2015-03-17,35005.0
2015-03-18,34764.0
2015-03-19,33212.0
2015-03-20,33674.0
2015-03-21,31368.0
2015-03-22,30601.0
2015-03-23,35532.0
2015-03-24,35535.0
2015-03-25,35323.0
2015-03-26,35071.0
2015-03-27,32968.0
2015-03-28,29486.0
2015-03-29,28098.0
2015-03-30,31365.0
2015-03-31,31165.0
2015-04-01,32040.0
2015-04-02,39156.0
2015-04-03,34286.0
2015-04-04,27437.0
2015-04-05,31764.0
2015-04-06,30794.0
2015-04-07,30522.0
2015-04-08,32820.0
2015-04-09,31050.0
2015-04-10,27943.0
2015-04-11,31969.0
2015-04-12,33838.0
2015-04-13,31722.0
2015-04-14,32230.0
2015-04-15,32311.0
2015-04-16,32527.0
2015-04-17,31207.0
2015-04-18,28339.0
2015-04-19,27825.0
2015-04-20,31572.0
2015-04-21,31654.0
2015-04-22,30776.0
2015-04-23,28696.93990521868
2015-04-24,30659.0
2015-04-25,27959.0
2015-04-26,27678.0
2015-04-27,31677.0
2015-04-28,31323.0
2015-04-29,31231.0
2015-04-30,30642.0
2015-05-01,31443.0
2015-05-02,39251.0
2015-05-03,34517.0
2015-05-04,26749.0
2015-05-05,31166.0
2015-05-06,30670.0
2015-05-07,30451.0
2015-05-08,33368.0
2015-05-09,28156.0
2015-05-10,32042.0
2015-05-11,31813.0
2015-05-12,30771.0
2015-05-13,31997.0
2015-05-14,32293.0
2015-05-15,29540.0
2015-05-16,26945.0
2015-05-17,26824.0
2015-05-18,31297.0
2015-05-19,30798.0
2015-05-20,30224.0
2015-05-21,30267.0
2015-05-22,29543.0
2015-05-23,27048.0
2015-05-24,26092.0
2015-05-25,30252.0
2015-05-26,30510.0
2015-05-27,30517.0
2015-05-28,30881.0
2015-05-29,29745.0
2015-05-30,26968.0
2015-05-31,26364.0
2015-06-01,31077.0
2015-06-02,38547.0
2015-06-03,33307.0
2015-06-04,29240.0
2015-06-05,30923.0
2015-06-06,28270.0
2015-06-07,35262.0
2015-06-08,33441.0
2015-06-09,27298.0
2015-06-10,31947.0
2015-06-11,31076.0
2015-06-12,29709.0
2015-06-13,26549.0
2015-06-14,25753.0
2015-06-15,29618.0
2015-06-16,29571.0
2015-06-17,29765.0
2015-06-18,30194.0
2015-06-19,29911.0
2015-06-20,27929.0
2015-06-21,27286.0
2015-06-22,31360.0
2015-06-23,29731.0
2015-06-24,29394.0
2015-06-25,31261.0
2015-06-26,31467.0
2015-06-27,29726.0
2015-06-28,29150.0
2015-06-29,34339.0
2015-06-30,34513.0
2015-07-01,37233.0
2015-07-02,35617.0
2015-07-03,29813.0
2015-07-04,32324.0
2015-07-05,31049.0
2015-07-06,27529.0
2015-07-07,35848.0
2015-07-08,33231.0
2015-07-09,31294.0
2015-07-10,31536.0
2015-07-11,27871.0
2015-07-12,30545.0
2015-07-13,34549.0
2015-07-14,34950.0
2015-07-15,35287.0
2015-07-16,34969.0
2015-07-17,33886.0
2015-07-18,30528.0
2015-07-19,29833.0
2015-07-20,35191.0
2015-07-21,35488.0
2015-07-22,34699.0
2015-07-23,34994.0
2015-07-24,33763.0
2015-07-25,29697.0
2015-07-26,29782.0
2015-07-27,34004.0
2015-07-28,34671.0
2015-07-29,34745.0
2015-07-30,33050.0
2015-07-31,30778.0
2015-08-01,37640.0
2015-08-02,35088.0
2015-08-03,29477.0
2015-08-04,32795.0
2015-08-05,30511.0
2015-08-06,31975.0
2015-08-07,35091.0
2015-08-08,29261.0
2015-08-09,31345.0
2015-08-10,31203.0
2015-08-11,27264.0
2015-08-12,30643.0
2015-08-13,31407.0
2015-08-14,30023.0
2015-08-15,26669.0
2015-08-16,26865.0
2015-08-17,30667.0
2015-08-18,30613.0
2015-08-19,31150.0
2015-08-20,32244.0
2015-08-21,31998.0
2015-08-22,29071.0
2015-08-23,27893.0
2015-08-24,31395.0
2015-08-25,32023.0
2015-08-26,32973.0
2015-08-27,33478.0
2015-08-28,33217.0
2015-08-29,30447.0
2015-08-30,29665.0
2015-08-31,34267.0
2015-09-01,36185.0
2015-09-02,39018.0
2015-09-03,33701.0
2015-09-04,32995.0
2015-09-05,27471.0
2015-09-06,31810.0
2015-09-07,34345.0
2015-09-08,27789.0
2015-09-09,32176.0
2015-09-10,30188.0
2015-09-11,31215.0
2015-09-12,34495.0
2015-09-13,27941.0
2015-09-14,31684.0
2015-09-15,32118.0
2015-09-16,32185.0
2015-09-17,31606.0
2015-09-18,30804.0
2015-09-19,27953.0
2015-09-20,27672.0
2015-09-21,32629.0
2015-09-22,32362.0
2015-09-23,31952.0
2015-09-24,31767.0
2015-09-25,31160.0
2015-09-26,28253.0
2015-09-27,27506.0
2015-09-28,31888.0
2015-09-29,31815.0
2015-09-30,31828.0
2015-10-01,33279.0
2015-10-02,38874.0
2015-10-03,33797.0
2015-10-04,31969.0
2015-10-05,27023.0
2015-10-06,31549.0
2015-10-07,33223.0
2015-10-08,32074.0
2015-10-09,32025.0
2015-10-10,27792.0
2015-10-11,31680.0
2015-10-12,34799.0
2015-10-13,31387.0
2015-10-14,31446.0
2015-10-15,31535.0
2015-10-16,30786.0
2015-10-17,28422.0
2015-10-18,27647.0
2015-10-19,31850.0
2015-10-20,31857.0
2015-10-21,31540.0
2015-10-22,31718.0
2015-10-23,31018.0
2015-10-24,27950.0
2015-10-25,26820.0
2015-10-26,31207.0
2015-10-27,31670.0
2015-10-28,31843.0
2015-10-29,31677.0
2015-10-30,30591.0
2015-10-31,27506.0
2015-11-01,32773.0
2015-11-02,38163.0
2015-11-03,33227.0
2015-11-04,28992.0
2015-11-05,31289.0
2015-11-06,30760.0
2015-11-07,30352.0
2015-11-08,32318.0
2015-11-09,30720.0
2015-11-10,26549.0
2015-11-11,31765.0
2015-11-12,33695.0
2015-11-13,31137.0
2015-11-14,28210.0
2015-11-15,27988.0
2015-11-16,32295.0
2015-11-17,32852.0
2015-11-18,32726.0
2015-11-19,32783.0
2015-11-20,31942.0
2015-11-21,29093.0
2015-11-22,29519.0
2015-11-23,34935.0
2015-11-24,35927.0
2015-11-25,35224.0
2015-11-26,34878.0
2015-11-27,33608.0
2015-11-28,30689.0
2015-11-29,30633.0
2015-11-30,35359.0
2015-12-01,36666.0
2015-12-02,37938.0
2015-12-03,33378.0
2015-12-04,28198.0
2015-12-05,31692.0
2015-12-06,29548.0
2015-12-07,29626.0
2015-12-08,32671.0
2015-12-09,28400.0
2015-12-10,27689.0
2015-12-11,31940.0
2015-12-12,31149.0
2015-12-13,31406.0
2015-12-14,35446.0
2015-12-15,35161.0
2015-12-16,34593.0
2015-12-17,34434.0
2015-12-18,33002.0
2015-12-19,30890.0
2015-12-20,30356.0
2015-12-21,33782.0
2015-12-22,33507.0
2015-12-23,32481.0
2015-12-24,26481.0
2015-12-25,26103.0
2015-12-26,28714.0
2015-12-27,28962.0
2015-12-28,31563.0
2015-12-29,31268.0
2015-12-30,30951.0
2015-12-31,27078.0
2016-01-01,26149.0
2016-01-02,34700.0
2016-01-03,35729.0
2016-01-04,32482.0
2016-01-05,25815.0
2016-01-06,30027.0
