,Total_loads
,18
date,
2015-01-01,26447.0
2015-01-02,29045.0
2015-01-03,24992.0
2015-01-04,27577.0
2015-01-05,21888.0
2015-01-06,30481.0
2015-01-07,35739.0
2015-01-08,27507.0
2015-01-09,33154.0
2015-01-10,29638.0
2015-01-11,25259.0
2015-01-12,35896.0
2015-01-13,35944.0
2015-01-14,36114.0
2015-01-15,36202.0
2015-01-16,35633.0
2015-01-17,31620.0
2015-01-18,31281.0
2015-01-19,37941.0
2015-01-20,38856.0
2015-01-21,38758.0
2015-01-22,38080.0
2015-01-23,36572.0
2015-01-24,32048.0
2015-01-25,29363.0
2015-01-26,36507.0
2015-01-27,36045.0
2015-01-28,35740.0
2015-01-29,36210.0
2015-01-30,35326.0
2015-01-31,30555.0
2015-02-01,28696.93990521868
2015-02-02,37111.0
2015-02-03,30646.0
2015-02-04,23242.0
2015-02-05,24216.0
2015-02-06,32152.0
2015-02-07,34803.0
2015-02-08,26240.0
2015-02-09,32414.0
2015-02-10,29089.0
2015-02-11,29991.0
2015-02-12,35793.0
2015-02-13,33985.0
2015-02-14,30226.0
2015-02-15,27237.0
2015-02-16,33542.0
2015-02-17,34632.0
2015-02-18,33922.0
2015-02-19,33458.0
2015-02-20,33186.0
2015-02-21,29163.0
2015-02-22,26799.0
2015-02-23,33574.0
2015-02-24,34086.0
2015-02-25,33441.0
2015-02-26,32740.0
2015-02-27,31009.0
2015-02-28,27220.0
2015-03-01,30973.0
2015-03-02,37418.0
2015-03-03,30668.0
2015-03-04,21051.0
2015-03-05,23044.0
2015-03-06,32434.0
2015-03-07,35219.0
2015-03-08,34103.0
2015-03-09,31318.0
2015-03-10,24916.0
2015-03-11,32381.0
2015-03-12,35387.0
2015-03-13,29636.0
2015-03-14,26689.0
2015-03-15,25354.0
2015-03-16,30840.0
2015-03-17,32182.0
2015-03-18,32744.0
2015-03-19,29820.0
2015-03-20,31398.0
2015-03-21,27884.0
2015-03-22,26091.0
2015-03-23,33056.0
2015-03-24,32920.0
2015-03-25,32318.0
2015-03-26,32057.0
2015-03-27,30041.0
2015-03-28,25386.0
2015-03-29,23255.0
2015-03-30,28355.0
2015-03-31,28191.0
2015-04-01,29232.0
