,Total_loads
,20
date,
2015-01-01,29014.0
2015-01-02,33266.0
2015-01-03,29694.0
2015-01-04,28604.0
2015-01-05,22858.0
2015-01-06,30120.0
2015-01-07,34470.0
2015-01-08,27578.0
2015-01-09,32384.0
2015-01-10,32244.0
2015-01-11,27123.0
2015-01-12,36704.0
2015-01-13,37604.0
2015-01-14,37633.0
2015-01-15,37299.0
2015-01-16,36669.0
2015-01-17,33865.0
2015-01-18,33710.0
2015-01-19,39262.0
2015-01-20,40207.0
2015-01-21,40122.0
2015-01-22,39722.0
2015-01-23,38333.0
2015-01-24,34630.0
2015-01-25,33571.0
2015-01-26,38869.0
2015-01-27,38718.0
2015-01-28,38240.0
2015-01-29,38090.0
2015-01-30,36331.0
2015-01-31,33309.0
2015-02-01,33955.0
2015-02-02,39042.0
2015-02-03,34373.0
2015-02-04,24934.0
2015-02-05,25006.0
2015-02-06,31336.0
2015-02-07,33432.0
2015-02-08,26780.0
2015-02-09,32153.0
2015-02-10,31533.0
2015-02-11,31251.0
2015-02-12,36483.0
2015-02-13,36733.0
2015-02-14,32646.0
2015-02-15,31180.0
2015-02-16,36679.0
2015-02-17,37924.0
2015-02-18,37295.0
2015-02-19,37133.0
2015-02-20,36189.0
2015-02-21,32991.0
2015-02-22,31950.0
2015-02-23,37118.0
2015-02-24,37783.0
2015-02-25,37158.0
2015-02-26,36131.0
2015-02-27,34368.0
2015-02-28,30718.0
2015-03-01,32763.0
2015-03-02,39406.0
2015-03-03,34572.0
2015-03-04,23277.0
2015-03-05,24567.0
2015-03-06,31328.0
2015-03-07,33571.0
2015-03-08,32361.0
2015-03-09,31003.0
2015-03-10,27876.0
2015-03-11,33253.0
2015-03-12,35954.0
2015-03-13,33552.0
2015-03-14,30883.0
2015-03-15,30509.0
2015-03-16,35735.0
2015-03-17,36169.0
2015-03-18,35998.0
2015-03-19,33721.0
2015-03-20,34538.0
2015-03-21,31414.0
2015-03-22,30976.0
2015-03-23,36679.0
2015-03-24,36577.0
2015-03-25,36170.0
2015-03-26,35825.0
2015-03-27,33588.0
2015-03-28,29430.0
2015-03-29,25537.0
2015-03-30,29282.0
2015-03-31,29291.0
2015-04-01,31605.0
2015-04-02,40324.0
2015-04-03,35321.0
2015-04-04,24869.0
2015-04-05,30190.0
2015-04-06,30621.0
2015-04-07,30423.0
2015-04-08,32383.0
2015-04-09,29905.0
2015-04-10,27457.0
2015-04-11,33171.0
2015-04-12,34651.0
2015-04-13,29511.0
2015-04-14,30438.0
2015-04-15,30872.0
2015-04-16,30540.0
2015-04-17,29239.0
2015-04-18,26014.0
2015-04-19,24641.0
2015-04-20,29259.0
2015-04-21,29756.0
2015-04-22,29122.0
2015-04-23,28620.0
2015-04-24,28982.0
2015-04-25,25829.0
2015-04-26,25281.0
2015-04-27,29627.0
2015-04-28,29199.0
2015-04-29,29415.0
2015-04-30,28880.0
2015-05-01,31242.0
2015-05-02,40234.0
2015-05-03,35412.0
2015-05-04,23746.0
2015-05-05,29874.0
2015-05-06,30845.0
2015-05-07,29557.0
2015-05-08,32895.0
2015-05-09,26348.0
2015-05-10,32913.0
2015-05-11,32947.0
2015-05-12,31027.0
2015-05-13,31447.0
2015-05-14,31598.0
2015-05-15,28702.0
2015-05-16,25507.0
2015-05-17,24692.0
2015-05-18,30393.0
2015-05-19,30174.0
2015-05-20,29215.0
2015-05-21,29176.0
2015-05-22,28698.0
2015-05-23,25634.0
2015-05-24,24218.0
2015-05-25,29330.0
2015-05-26,29715.0
2015-05-27,30022.0
2015-05-28,30462.0
2015-05-29,29350.0
2015-05-30,26066.0
2015-05-31,24820.0
2015-06-01,30122.0
2015-06-02,39344.0
2015-06-03,33977.0
2015-06-04,26626.0
2015-06-05,29400.0
2015-06-06,27937.0
2015-06-07,35809.0
2015-06-08,32888.0
2015-06-09,24865.0
2015-06-10,32656.0
2015-06-11,32099.0
2015-06-12,29403.0
2015-06-13,25646.0
2015-06-14,24315.0
2015-06-15,29347.0
2015-06-16,29354.0
2015-06-17,30160.0
2015-06-18,30227.0
2015-06-19,30408.0
2015-06-20,27770.0
2015-06-21,26044.0
2015-06-22,31435.0
2015-06-23,30149.0
2015-06-24,29107.0
2015-06-25,31727.0
2015-06-26,32150.0
2015-06-27,29811.0
2015-06-28,28327.0
2015-06-29,34667.0
2015-06-30,34763.0
2015-07-01,38193.0
2015-07-02,35951.0
2015-07-03,29742.0
2015-07-04,30134.0
2015-07-05,29644.0
2015-07-06,26281.0
2015-07-07,36535.0
2015-07-08,32969.0
2015-07-09,29906.0
2015-07-10,32302.0
2015-07-11,28119.0
2015-07-12,30713.0
2015-07-13,35125.0
2015-07-14,35487.0
2015-07-15,35730.0
2015-07-16,35440.0
2015-07-17,34595.0
2015-07-18,30411.0
2015-07-19,28852.0
2015-07-20,35622.0
2015-07-21,35950.0
2015-07-22,35225.0
2015-07-23,35363.0
2015-07-24,34522.0
2015-07-25,29384.0
2015-07-26,28619.0
2015-07-27,34192.0
2015-07-28,34727.0
2015-07-29,34943.0
2015-07-30,33120.0
2015-07-31,30835.0
2015-08-01,38551.0
2015-08-02,34797.0
2015-08-03,29238.0
2015-08-04,30921.0
2015-08-05,29148.0
2015-08-06,31814.0
2015-08-07,35664.0
2015-08-08,28232.0
2015-08-09,30276.0
2015-08-10,31935.0
2015-08-11,27464.0
2015-08-12,30698.0
2015-08-13,30504.0
2015-08-14,28801.0
2015-08-15,24713.0
2015-08-16,24535.0
2015-08-17,29207.0
2015-08-18,29021.0
2015-08-19,29664.0
2015-08-20,30870.0
2015-08-21,30953.0
2015-08-22,27436.0
2015-08-23,25612.0
2015-08-24,29445.0
2015-08-25,30334.0
2015-08-26,31333.0
2015-08-27,32140.0
2015-08-28,32134.0
2015-08-29,28741.0
2015-08-30,27403.0
2015-08-31,33094.0
2015-09-01,36925.0
2015-09-02,40030.0
2015-09-03,34668.0
2015-09-04,31227.0
2015-09-05,25773.0
2015-09-06,31540.0
2015-09-07,35002.0
2015-09-08,26117.0
2015-09-09,31160.0
2015-09-10,30753.0
2015-09-11,32238.0
2015-09-12,35373.0
2015-09-13,25950.0
2015-09-14,30690.0
2015-09-15,31947.0
2015-09-16,32013.0
2015-09-17,30922.0
2015-09-18,30214.0
2015-09-19,26903.0
2015-09-20,26038.0
2015-09-21,32365.0
2015-09-22,32433.0
2015-09-23,31911.0
2015-09-24,31967.0
2015-09-25,31294.0
2015-09-26,27691.0
2015-09-27,26606.0
2015-09-28,32046.0
2015-09-29,32293.0
2015-09-30,32129.0
2015-10-01,33296.0
2015-10-02,39735.0
2015-10-03,34789.0
2015-10-04,29771.0
2015-10-05,24696.0
2015-10-06,31386.0
2015-10-07,34040.0
2015-10-08,31142.0
2015-10-09,31069.0
2015-10-10,27912.0
2015-10-11,32915.0
2015-10-12,35683.0
2015-10-13,32218.0
2015-10-14,32243.0
2015-10-15,32460.0
2015-10-16,31634.0
2015-10-17,28619.0
2015-10-18,27399.0
2015-10-19,32789.0
2015-10-20,32951.0
2015-10-21,32654.0
2015-10-22,32493.0
2015-10-23,31919.0
2015-10-24,28128.0
2015-10-25,27167.0
2015-10-26,32597.0
2015-10-27,32972.0
2015-10-28,33168.0
2015-10-29,33012.0
2015-10-30,31574.0
2015-10-31,28086.0
2015-11-01,32609.0
2015-11-02,39029.0
2015-11-03,34053.0
2015-11-04,26594.0
2015-11-05,30096.0
2015-11-06,30462.0
2015-11-07,30320.0
2015-11-08,31369.0
2015-11-09,29707.0
2015-11-10,26209.0
2015-11-11,33113.0
2015-11-12,34640.0
2015-11-13,32278.0
2015-11-14,28483.0
2015-11-15,28119.0
2015-11-16,33513.0
2015-11-17,33986.0
2015-11-18,33931.0
2015-11-19,33912.0
2015-11-20,32986.0
2015-11-21,29284.0
2015-11-22,29453.0
2015-11-23,36147.0
2015-11-24,37186.0
2015-11-25,36265.0
2015-11-26,35923.0
2015-11-27,34405.0
2015-11-28,30878.0
2015-11-29,30579.0
2015-11-30,36594.0
2015-12-01,37433.0
2015-12-02,38753.0
2015-12-03,34214.0
2015-12-04,25241.0
2015-12-05,30764.0
2015-12-06,29503.0
2015-12-07,28745.0
2015-12-08,31598.0
2015-12-09,27186.0
2015-12-10,27539.0
2015-12-11,33200.0
2015-12-12,31489.0
2015-12-13,31248.0
2015-12-14,36361.0
2015-12-15,35967.0
2015-12-16,35393.0
2015-12-17,35396.0
2015-12-18,33900.0
2015-12-19,31208.0
2015-12-20,30310.0
2015-12-21,34459.0
2015-12-22,34281.0
2015-12-23,33012.0
2015-12-24,28160.0
2015-12-25,25672.0
2015-12-26,28786.0
2015-12-27,28685.0
2015-12-28,31883.0
2015-12-29,31722.0
2015-12-30,31393.0
2015-12-31,28653.0
2016-01-01,25881.0
2016-01-02,35381.0
2016-01-03,36599.0
2016-01-04,30469.0
2016-01-05,22929.0
2016-01-06,29484.0
2016-01-07,32172.0
2016-01-08,32267.0
2016-01-09,33899.0
2016-01-10,28617.0
2016-01-11,27672.0
2016-01-12,36345.0
2016-01-13,36875.0
2016-01-14,36677.0
2016-01-15,35951.0
2016-01-16,32998.0
2016-01-17,33266.0
2016-01-18,37724.0
2016-01-19,38071.0
2016-01-20,37527.0
2016-01-21,37468.0
2016-01-22,35335.0
2016-01-23,31189.0
2016-01-24,30986.0
2016-01-25,35742.0
2016-01-26,36244.0
2016-01-27,36066.0
2016-01-28,36105.0
2016-01-29,34867.0
2016-01-30,31700.0
2016-01-31,30838.0
2016-02-01,29207.0
2016-02-02,35570.0
2016-02-03,36245.0
2016-02-04,27569.0
2016-02-05,27352.0
2016-02-06,29919.0
2016-02-07,28937.0
2016-02-08,33184.0
2016-02-09,33730.0
2016-02-10,27546.0
2016-02-11,32810.0
2016-02-12,35096.0
2016-02-13,31105.0
2016-02-14,31361.0
2016-02-15,37014.0
2016-02-16,37607.0
2016-02-17,38239.0
2016-02-18,38126.0
2016-02-19,36418.0
2016-02-20,32462.0
2016-02-21,31542.0
2016-02-22,35747.0
2016-02-23,35877.0
2016-02-24,35813.0
2016-02-25,35626.0
2016-02-26,35677.0
2016-02-27,33512.0
2016-02-28,31983.0
2016-02-29,36013.0
2016-03-01,29237.0
2016-03-02,35830.0
2016-03-03,35745.0
2016-03-04,27645.0
2016-03-05,29240.0
2016-03-06,29137.0
2016-03-07,27715.0
2016-03-08,33333.0
2016-03-09,30935.0
2016-03-10,33081.0
2016-03-11,32775.0
2016-03-12,31615.0
2016-03-13,31354.0
2016-03-14,36647.0
2016-03-15,36715.0
2016-03-16,36557.0
2016-03-17,36274.0
2016-03-18,34998.0
2016-03-19,31215.0
2016-03-20,30348.0
2016-03-21,35206.0
2016-03-22,34479.0
2016-03-23,33277.0
2016-03-24,29181.0
2016-03-25,27405.0
2016-03-26,29034.0
2016-03-27,25821.0
2016-03-28,28586.0
2016-03-29,30772.0
2016-03-30,30681.0
2016-03-31,31416.0
2016-04-01,32193.0
2016-04-02,35934.0
2016-04-03,35306.0
2016-04-04,33061.0
2016-04-05,29648.0
2016-04-06,25883.0
2016-04-07,32479.0
2016-04-08,33431.0
2016-04-09,30322.0
2016-04-10,33708.0
2016-04-11,32438.0
2016-04-12,30491.0
2016-04-13,31204.0
2016-04-14,30963.0
2016-04-15,30436.0
2016-04-16,26769.0
2016-04-17,25699.0
2016-04-18,30414.0
2016-04-19,31430.0
2016-04-20,31484.0
2016-04-21,30594.0
2016-04-22,29242.0
2016-04-23,25733.0
2016-04-24,24878.0
2016-04-25,29225.0
2016-04-26,29787.0
2016-04-27,30691.0
2016-04-28,29928.0
2016-04-29,29222.0
2016-04-30,25507.0
2016-05-01,30300.0
2016-05-02,34955.0
2016-05-03,31837.0
2016-05-04,32998.0
2016-05-05,29988.0
2016-05-06,24602.0
2016-05-07,33416.0
2016-05-08,31681.0
2016-05-09,36927.0
2016-05-10,33427.0
2016-05-11,28618.0
2016-05-12,33281.0
2016-05-13,28963.0
2016-05-14,25517.0
2016-05-15,23498.0
2016-05-16,27337.0
2016-05-17,28901.0
2016-05-18,29812.0
2016-05-19,29317.0
2016-05-20,28819.0
2016-05-21,25875.0
2016-05-22,24423.0
2016-05-23,28952.0
2016-05-24,29687.0
2016-05-25,29886.0
2016-05-26,29660.0
2016-05-27,28695.0
2016-05-28,25830.0
2016-05-29,24006.0
2016-05-30,28943.0
2016-05-31,29186.0
2016-06-01,29013.0
2016-06-02,31569.0
2016-06-03,31364.0
2016-06-04,31468.0
2016-06-05,29304.0
2016-06-06,30280.0
2016-06-07,33621.0
2016-06-08,28680.0
2016-06-09,37189.0
2016-06-10,33132.0
2016-06-11,28179.0
2016-06-12,31481.0
2016-06-13,32573.0
2016-06-14,32184.0
2016-06-15,30854.0
2016-06-16,29290.0
2016-06-17,28995.0
2016-06-18,25998.0
2016-06-19,25024.0
2016-06-20,30450.0
2016-06-21,31516.0
2016-06-22,31518.0
2016-06-23,30948.0
2016-06-24,29580.0
2016-06-25,28076.0
2016-06-26,26092.0
2016-06-27,31902.0
2016-06-28,32670.0
2016-06-29,32602.0
2016-06-30,32813.0
2016-07-01,35120.0
2016-07-02,30993.0
2016-07-03,37510.0
2016-07-04,31265.0
2016-07-05,25706.0
2016-07-06,31244.0
2016-07-07,32847.0
2016-07-08,26760.0
2016-07-09,34159.0
2016-07-10,31668.0
2016-07-11,34051.0
2016-07-12,33639.0
2016-07-13,32249.0
2016-07-14,32150.0
2016-07-15,31322.0
2016-07-16,28316.0
2016-07-17,27079.0
2016-07-18,33355.0
2016-07-19,34035.0
2016-07-20,34413.0
