,Total_loads
,5
date,
2015-01-01,19905.0
2015-01-02,22066.0
2015-01-03,21316.0
2015-01-04,22195.0
2015-01-05,20309.0
2015-01-06,21618.0
2015-01-07,26021.0
2015-01-08,22361.0
2015-01-09,24030.0
2015-01-10,22426.0
2015-01-11,19199.0
2015-01-12,24070.0
2015-01-13,24445.0
2015-01-14,24438.0
2015-01-15,24485.0
2015-01-16,24561.0
2015-01-17,23539.0
2015-01-18,21986.0
2015-01-19,23397.0
2015-01-20,25188.0
2015-01-21,25268.0
2015-01-22,25540.0
2015-01-23,25679.0
2015-01-24,24273.0
2015-01-25,22526.0
2015-01-26,23750.0
2015-01-27,25118.0
2015-01-28,25236.0
2015-01-29,24870.0
2015-01-30,24991.0
2015-01-31,23734.0
2015-02-01,20113.0
2015-02-02,23665.0
2015-02-03,22627.0
2015-02-04,20472.0
2015-02-05,19264.0
2015-02-06,23280.0
2015-02-07,25026.0
2015-02-08,21066.0
2015-02-09,24233.0
2015-02-10,22575.0
2015-02-11,20500.0
2015-02-12,24062.0
2015-02-13,25059.0
2015-02-14,23555.0
2015-02-15,22272.0
2015-02-16,23112.0
2015-02-17,24716.0
2015-02-18,24971.0
2015-02-19,24706.0
2015-02-20,24484.0
2015-02-21,23150.0
2015-02-22,21910.0
2015-02-23,23267.0
2015-02-24,25027.0
2015-02-25,24994.0
2015-02-26,24834.0
2015-02-27,24623.0
2015-02-28,22770.0
2015-03-01,21642.0
2015-03-02,25506.0
2015-03-03,23304.0
2015-03-04,18934.0
2015-03-05,19650.0
2015-03-06,23745.0
2015-03-07,25122.0
2015-03-08,22681.0
2015-03-09,23785.0
2015-03-10,21275.0
2015-03-11,22173.0
2015-03-12,24179.0
2015-03-13,23535.0
2015-03-14,22307.0
2015-03-15,20865.0
2015-03-16,22495.0
2015-03-17,23989.0
2015-03-18,23783.0
2015-03-19,23411.0
2015-03-20,22841.0
2015-03-21,22224.0
2015-03-22,20807.0
2015-03-23,22300.0
2015-03-24,24033.0
2015-03-25,24188.0
2015-03-26,23726.0
2015-03-27,23915.0
2015-03-28,22336.0
2015-03-29,20452.0
2015-03-30,21335.0
2015-03-31,22271.0
2015-04-01,21035.0
2015-04-02,25926.0
2015-04-03,23335.0
2015-04-04,18878.0
2015-04-05,21047.0
2015-04-06,23805.0
2015-04-07,24164.0
2015-04-08,23994.0
2015-04-09,23257.0
2015-04-10,19547.0
2015-04-11,22263.0
2015-04-12,23966.0
2015-04-13,21459.0
2015-04-14,22233.0
2015-04-15,22687.0
2015-04-16,22457.0
2015-04-17,22505.0
2015-04-18,21313.0
2015-04-19,19655.0
2015-04-20,21078.0
2015-04-21,22354.0
2015-04-22,22370.0
2015-04-23,22205.0
2015-04-24,21996.0
2015-04-25,21464.0
2015-04-26,19916.0
2015-04-27,21207.0
2015-04-28,22304.0
2015-04-29,22294.0
2015-04-30,22551.0
2015-05-01,21533.0
2015-05-02,26047.0
2015-05-03,24302.0
2015-05-04,18865.0
2015-05-05,22841.0
2015-05-06,23631.0
2015-05-07,22616.0
2015-05-08,24179.0
2015-05-09,21692.0
2015-05-10,21656.0
2015-05-11,22224.0
2015-05-12,22683.0
2015-05-13,23028.0
2015-05-14,23528.0
2015-05-15,23285.0
2015-05-16,21735.0
2015-05-17,20130.0
2015-05-18,21655.0
2015-05-19,23268.0
2015-05-20,22946.0
2015-05-21,22603.0
2015-05-22,23008.0
2015-05-23,21945.0
2015-05-24,20250.0
2015-05-25,21406.0
2015-05-26,22867.0
2015-05-27,23087.0
2015-05-28,23214.0
2015-05-29,23240.0
2015-05-30,21778.0
2015-05-31,20153.0
2015-06-01,20478.0
2015-06-02,26009.0
2015-06-03,24101.0
2015-06-04,19078.0
2015-06-05,22683.0
2015-06-06,22607.0
2015-06-07,24162.0
2015-06-08,24065.0
2015-06-09,19809.0
2015-06-10,22732.0
2015-06-11,22300.0
2015-06-12,21150.0
2015-06-13,21855.0
2015-06-14,20040.0
2015-06-15,21537.0
2015-06-16,22678.0
2015-06-17,22835.0
2015-06-18,23054.0
2015-06-19,23767.0
2015-06-20,22626.0
2015-06-21,20871.0
2015-06-22,22790.0
2015-06-23,24095.0
2015-06-24,22962.0
2015-06-25,23555.0
2015-06-26,24152.0
2015-06-27,23422.0
2015-06-28,22090.0
2015-06-29,23789.0
2015-06-30,25936.0
2015-07-01,22229.0
2015-07-02,24565.0
2015-07-03,22263.0
2015-07-04,20827.0
2015-07-05,22412.0
2015-07-06,20930.0
2015-07-07,26083.0
2015-07-08,24301.0
2015-07-09,20995.0
2015-07-10,22612.0
2015-07-11,21038.0
2015-07-12,21292.0
2015-07-13,24056.0
2015-07-14,25962.0
2015-07-15,26058.0
2015-07-16,26206.0
2015-07-17,26585.0
2015-07-18,24923.0
2015-07-19,22676.0
2015-07-20,24583.0
2015-07-21,26580.0
2015-07-22,26418.0
2015-07-23,26261.0
2015-07-24,26420.0
2015-07-25,24443.0
2015-07-26,22273.0
2015-07-27,24337.0
2015-07-28,25787.0
2015-07-29,26371.0
2015-07-30,26251.0
2015-07-31,25200.0
2015-08-01,24420.0
2015-08-02,22931.0
2015-08-03,20591.0
2015-08-04,22478.0
2015-08-05,22737.0
2015-08-06,22378.0
2015-08-07,26248.0
2015-08-08,23674.0
2015-08-09,22210.0
2015-08-10,22317.0
2015-08-11,19837.0
2015-08-12,21006.0
2015-08-13,23931.0
2015-08-14,22733.0
2015-08-15,21530.0
2015-08-16,20018.0
2015-08-17,21355.0
2015-08-18,22231.0
2015-08-19,22089.0
2015-08-20,22605.0
2015-08-21,23255.0
2015-08-22,22605.0
2015-08-23,20782.0
2015-08-24,22204.0
2015-08-25,23000.0
2015-08-26,22685.0
2015-08-27,23583.0
2015-08-28,23866.0
2015-08-29,23093.0
2015-08-30,21611.0
2015-08-31,23077.0
2015-09-01,24609.0
2015-09-02,24217.0
2015-09-03,22223.0
2015-09-04,22522.0
2015-09-05,21707.0
2015-09-06,24034.0
2015-09-07,26305.0
2015-09-08,21212.0
2015-09-09,22524.0
2015-09-10,22043.0
2015-09-11,20545.0
2015-09-12,22113.0
2015-09-13,20044.0
2015-09-14,21714.0
2015-09-15,22384.0
2015-09-16,22947.0
2015-09-17,23163.0
2015-09-18,22165.0
