,Total_loads
,12
date,
2015-01-01,24133.0
2015-01-02,29071.0
2015-01-03,26716.0
2015-01-04,30685.0
2015-01-05,28696.93990521868
2015-01-06,31947.0
2015-01-07,35535.0
2015-01-08,28881.0
2015-01-09,35040.0
2015-01-10,31449.0
2015-01-11,24271.0
2015-01-12,34347.0
2015-01-13,35645.0
2015-01-14,35561.0
2015-01-15,35539.0
2015-01-16,35955.0
2015-01-17,31863.0
2015-01-18,30285.0
2015-01-19,38052.0
2015-01-20,38172.0
2015-01-21,38110.0
2015-01-22,37706.0
2015-01-23,37202.0
2015-01-24,32671.0
2015-01-25,28831.0
2015-01-26,36577.0
2015-01-27,36320.0
2015-01-28,36039.0
2015-01-29,35852.0
2015-01-30,35845.0
2015-01-31,31592.0
2015-02-01,28696.93990521868
2015-02-02,37491.0
2015-02-03,33590.0
2015-02-04,26253.0
2015-02-05,26679.0
2015-02-06,33337.0
2015-02-07,35667.0
2015-02-08,25905.0
2015-02-09,34420.0
2015-02-10,31646.0
2015-02-11,30113.0
2015-02-12,33878.0
2015-02-13,35912.0
2015-02-14,32210.0
2015-02-15,28588.0
2015-02-16,35098.0
2015-02-17,36392.0
2015-02-18,36367.0
2015-02-19,34856.0
2015-02-20,35435.0
2015-02-21,32040.0
2015-02-22,28389.0
2015-02-23,35446.0
2015-02-24,35764.0
2015-02-25,35394.0
2015-02-26,34502.0
2015-02-27,33966.0
2015-02-28,29640.0
2015-03-01,29893.0
2015-03-02,37489.0
2015-03-03,33027.0
2015-03-04,22932.0
2015-03-05,24689.0
2015-03-06,33535.0
2015-03-07,36666.0
2015-03-08,35454.0
2015-03-09,33263.0
2015-03-10,27801.0
2015-03-11,31916.0
2015-03-12,33575.0
2015-03-13,32833.0
2015-03-14,29902.0
2015-03-15,26776.0
2015-03-16,34166.0
2015-03-17,34095.0
2015-03-18,35194.0
2015-03-19,32101.0
2015-03-20,33932.0
2015-03-21,30860.0
2015-03-22,27542.0
2015-03-23,35340.0
2015-03-24,35861.0
2015-03-25,34886.0
2015-03-26,34514.0
2015-03-27,33113.0
2015-03-28,28357.0
2015-03-29,25016.0
2015-03-30,31823.0
2015-03-31,31301.0
2015-04-01,27648.0
2015-04-02,38557.0
2015-04-03,33462.0
2015-04-04,24890.0
2015-04-05,32027.0
2015-04-06,32257.0
2015-04-07,31881.0
2015-04-08,35201.0
2015-04-09,32442.0
2015-04-10,25143.0
2015-04-11,31949.0
2015-04-12,33694.0
2015-04-13,31233.0
2015-04-14,31536.0
2015-04-15,32232.0
2015-04-16,31930.0
2015-04-17,31823.0
2015-04-18,27640.0
2015-04-19,24862.0
2015-04-20,31057.0
2015-04-21,31283.0
2015-04-22,31546.0
2015-04-23,30329.0
2015-04-24,30918.0
2015-04-25,28026.0
2015-04-26,25563.0
2015-04-27,31385.0
2015-04-28,31269.0
2015-04-29,31325.0
2015-04-30,31262.0
2015-05-01,31942.0
2015-05-02,38103.0
2015-05-03,33623.0
2015-05-04,23452.0
2015-05-05,32224.0
2015-05-06,33369.0
2015-05-07,28803.0
2015-05-08,35550.0
2015-05-09,27664.0
2015-05-10,32651.0
2015-05-11,31608.0
2015-05-12,29773.0
2015-05-13,32946.0
2015-05-14,33941.0
2015-05-15,31365.0
2015-05-16,28181.0
2015-05-17,25411.0
2015-05-18,32417.0
2015-05-19,32476.0
2015-05-20,31637.0
2015-05-21,31239.0
2015-05-22,31492.0
2015-05-23,28098.0
2015-05-24,24597.0
2015-05-25,31056.0
2015-05-26,31819.0
2015-05-27,32197.0
2015-05-28,32594.0
2015-05-29,32344.0
2015-05-30,28396.0
2015-05-31,25003.0
2015-06-01,26633.0
2015-06-02,38397.0
2015-06-03,33268.0
2015-06-04,26807.0
2015-06-05,31653.0
2015-06-06,29785.0
2015-06-07,37971.0
2015-06-08,35314.0
2015-06-09,24640.0
2015-06-10,32496.0
2015-06-11,31523.0
2015-06-12,26556.0
2015-06-13,28518.0
2015-06-14,24891.0
2015-06-15,31940.0
2015-06-16,31466.0
2015-06-17,31911.0
2015-06-18,32274.0
