,Total_loads
,0
date,
2015-01-01,25385.0
2015-01-02,27070.0
2015-01-03,25564.0
2015-01-04,25254.0
2015-01-05,25069.0
2015-01-06,23711.0
2015-01-07,30518.0
2015-01-08,26788.0
2015-01-09,27485.0
2015-01-10,24899.0
2015-01-11,22460.0
2015-01-12,27085.0
2015-01-13,28033.0
2015-01-14,28057.0
2015-01-15,27865.0
2015-01-16,28342.0
2015-01-17,28889.0
2015-01-18,27371.0
2015-01-19,26865.0
2015-01-20,29025.0
2015-01-21,29411.0
2015-01-22,29755.0
2015-01-23,29746.0
2015-01-24,30040.0
2015-01-25,27877.0
2015-01-26,26853.0
2015-01-27,28656.0
2015-01-28,29096.0
2015-01-29,28577.0
2015-01-30,28858.0
2015-01-31,28724.0
2015-02-01,24298.0
2015-02-02,26687.0
2015-02-03,24402.0
2015-02-04,24449.0
2015-02-05,22311.0
2015-02-06,25777.0
2015-02-07,28902.0
2015-02-08,25070.0
2015-02-09,27209.0
2015-02-10,24815.0
2015-02-11,22333.0
2015-02-12,27229.0
2015-02-13,29098.0
2015-02-14,28973.0
2015-02-15,27038.0
2015-02-16,25952.0
2015-02-17,27955.0
2015-02-18,28328.0
2015-02-19,27937.0
2015-02-20,28161.0
2015-02-21,28183.0
2015-02-22,26919.0
2015-02-23,25948.0
2015-02-24,28105.0
2015-02-25,28187.0
2015-02-26,28205.0
2015-02-27,27464.0
2015-02-28,27739.0
2015-03-01,27243.0
2015-03-02,29071.0
2015-03-03,26021.0
2015-03-04,22551.0
2015-03-05,23212.0
2015-03-06,26397.0
2015-03-07,29195.0
2015-03-08,25996.0
2015-03-09,26952.0
2015-03-10,24762.0
2015-03-11,23837.0
2015-03-12,27361.0
2015-03-13,26024.0
2015-03-14,26196.0
2015-03-15,24920.0
2015-03-16,24676.0
2015-03-17,26722.0
2015-03-18,27013.0
2015-03-19,26981.0
2015-03-20,26406.0
2015-03-21,26527.0
2015-03-22,25270.0
2015-03-23,25117.0
2015-03-24,27089.0
2015-03-25,27115.0
2015-03-26,27006.0
2015-03-27,27277.0
2015-03-28,26665.0
2015-03-29,24029.0
2015-03-30,23928.0
2015-03-31,25340.0
2015-04-01,26818.0
2015-04-02,29735.0
2015-04-03,26156.0
2015-04-04,22005.0
2015-04-05,22918.0
2015-04-06,26911.0
2015-04-07,29246.0
2015-04-08,27967.0
2015-04-09,26422.0
2015-04-10,22944.0
2015-04-11,24576.0
2015-04-12,27186.0
2015-04-13,23475.0
2015-04-14,24815.0
2015-04-15,25292.0
2015-04-16,25286.0
2015-04-17,25398.0
2015-04-18,25230.0
2015-04-19,23555.0
2015-04-20,22984.0
2015-04-21,24837.0
2015-04-22,25040.0
2015-04-23,25096.0
2015-04-24,24580.0
2015-04-25,25086.0
2015-04-26,23401.0
2015-04-27,23262.0
2015-04-28,24793.0
2015-04-29,24837.0
2015-04-30,25216.0
2015-05-01,26019.0
2015-05-02,29913.0
2015-05-03,26571.0
2015-05-04,22695.0
2015-05-05,25111.0
2015-05-06,26573.0
2015-05-07,27589.0
2015-05-08,28240.0
2015-05-09,25516.0
2015-05-10,23103.0
2015-05-11,24586.0
2015-05-12,27449.0
2015-05-13,25775.0
2015-05-14,26430.0
2015-05-15,26377.0
2015-05-16,25303.0
2015-05-17,23763.0
2015-05-18,23568.0
2015-05-19,25647.0
2015-05-20,25250.0
2015-05-21,25115.0
2015-05-22,25530.0
2015-05-23,25502.0
2015-05-24,23785.0
2015-05-25,23507.0
2015-05-26,25120.0
2015-05-27,25625.0
2015-05-28,25724.0
2015-05-29,26194.0
2015-05-30,25662.0
2015-05-31,23970.0
2015-06-01,26304.0
2015-06-02,29977.0
2015-06-03,26951.0
2015-06-04,22074.0
2015-06-05,25080.0
2015-06-06,26884.0
2015-06-07,28037.0
2015-06-08,28503.0
2015-06-09,23354.0
2015-06-10,24921.0
2015-06-11,24708.0
2015-06-12,25453.0
2015-06-13,25724.0
2015-06-14,23465.0
2015-06-15,23503.0
2015-06-16,24991.0
2015-06-17,25550.0
2015-06-18,25830.0
2015-06-19,26493.0
2015-06-20,26825.0
2015-06-21,25136.0
2015-06-22,25415.0
2015-06-23,27170.0
2015-06-24,26151.0
2015-06-25,26475.0
2015-06-26,27539.0
2015-06-27,28249.0
2015-06-28,26811.0
2015-06-29,27449.0
2015-06-30,30122.0
2015-07-01,25555.0
2015-07-02,30477.0
2015-07-03,26839.0
2015-07-04,23313.0
2015-07-05,25244.0
2015-07-06,24928.0
2015-07-07,30862.0
2015-07-08,28682.0
2015-07-09,22859.0
2015-07-10,24695.0
2015-07-11,24630.0
2015-07-12,24683.0
2015-07-13,28095.0
2015-07-14,30405.0
2015-07-15,30758.0
2015-07-16,30952.0
2015-07-17,31197.0
2015-07-18,30265.0
2015-07-19,27435.0
2015-07-20,28166.0
2015-07-21,30922.0
2015-07-22,31036.0
