,Total_loads
,4
date,
2015-01-01,20264.0
2015-01-02,22096.0
2015-01-03,21145.0
2015-01-04,21929.0
2015-01-05,20778.0
2015-01-06,21042.0
2015-01-07,25838.0
2015-01-08,22587.0
2015-01-09,23840.0
2015-01-10,22025.0
2015-01-11,19126.0
2015-01-12,23572.0
2015-01-13,23876.0
2015-01-14,23892.0
2015-01-15,23762.0
2015-01-16,24030.0
2015-01-17,23651.0
2015-01-18,21973.0
2015-01-19,22671.0
2015-01-20,24505.0
2015-01-21,24694.0
2015-01-22,24952.0
2015-01-23,25081.0
2015-01-24,24358.0
2015-01-25,22428.0
2015-01-26,22879.0
2015-01-27,24470.0
2015-01-28,24587.0
2015-01-29,24295.0
2015-01-30,24566.0
2015-01-31,23748.0
2015-02-01,19500.0
2015-02-02,22833.0
2015-02-03,21804.0
2015-02-04,20602.0
2015-02-05,19149.0
2015-02-06,22949.0
2015-02-07,24841.0
2015-02-08,21260.0
2015-02-09,23922.0
2015-02-10,22148.0
2015-02-11,19850.0
2015-02-12,23558.0
2015-02-13,24492.0
2015-02-14,23782.0
2015-02-15,22406.0
2015-02-16,22293.0
2015-02-17,24011.0
2015-02-18,24409.0
2015-02-19,24014.0
2015-02-20,23860.0
2015-02-21,23191.0
2015-02-22,21878.0
2015-02-23,22510.0
2015-02-24,24269.0
2015-02-25,24564.0
2015-02-26,24344.0
2015-02-27,24227.0
2015-02-28,22890.0
2015-03-01,21540.0
2015-03-02,24879.0
2015-03-03,22624.0
2015-03-04,18975.0
2015-03-05,19708.0
2015-03-06,23400.0
2015-03-07,24906.0
2015-03-08,22303.0
2015-03-09,23474.0
2015-03-10,21308.0
2015-03-11,21363.0
2015-03-12,23566.0
2015-03-13,22943.0
2015-03-14,22392.0
2015-03-15,20790.0
2015-03-16,21640.0
2015-03-17,23504.0
2015-03-18,23217.0
2015-03-19,22948.0
2015-03-20,22388.0
2015-03-21,22156.0
2015-03-22,20767.0
2015-03-23,21442.0
2015-03-24,23446.0
2015-03-25,23490.0
2015-03-26,23206.0
2015-03-27,23271.0
2015-03-28,22324.0
2015-03-29,20313.0
2015-03-30,20806.0
2015-03-31,21843.0
2015-04-01,20937.0
2015-04-02,25157.0
2015-04-03,22915.0
2015-04-04,18846.0
2015-04-05,20391.0
2015-04-06,23645.0
2015-04-07,24491.0
2015-04-08,23772.0
2015-04-09,23164.0
2015-04-10,19721.0
2015-04-11,21812.0
2015-04-12,23485.0
2015-04-13,20921.0
2015-04-14,21845.0
2015-04-15,22376.0
2015-04-16,22142.0
2015-04-17,22150.0
2015-04-18,21519.0
2015-04-19,19665.0
2015-04-20,20426.0
2015-04-21,21966.0
2015-04-22,22179.0
2015-04-23,21931.0
2015-04-24,21533.0
2015-04-25,21693.0
2015-04-26,19989.0
2015-04-27,20511.0
2015-04-28,21961.0
2015-04-29,21881.0
2015-04-30,22224.0
2015-05-01,21054.0
2015-05-02,25491.0
2015-05-03,23781.0
2015-05-04,18912.0
2015-05-05,22335.0
2015-05-06,23360.0
2015-05-07,22896.0
2015-05-08,23907.0
2015-05-09,21833.0
2015-05-10,21010.0
2015-05-11,21811.0
2015-05-12,22716.0
2015-05-13,22651.0
2015-05-14,23233.0
2015-05-15,23014.0
2015-05-16,21823.0
2015-05-17,20175.0
2015-05-18,21105.0
2015-05-19,22949.0
2015-05-20,22497.0
2015-05-21,22305.0
2015-05-22,22521.0
2015-05-23,22135.0
2015-05-24,20320.0
2015-05-25,20754.0
2015-05-26,22451.0
2015-05-27,22828.0
2015-05-28,22831.0
2015-05-29,23046.0
2015-05-30,21935.0
2015-05-31,20211.0
2015-06-01,20518.0
2015-06-02,25477.0
2015-06-03,23516.0
2015-06-04,18769.0
2015-06-05,22290.0
2015-06-06,22775.0
2015-06-07,23822.0
2015-06-08,23971.0
2015-06-09,19869.0
2015-06-10,22330.0
2015-06-11,21847.0
2015-06-12,21118.0
2015-06-13,22104.0
2015-06-14,20146.0
2015-06-15,20945.0
2015-06-16,22341.0
2015-06-17,22439.0
2015-06-18,22690.0
2015-06-19,23450.0
2015-06-20,22970.0
2015-06-21,21094.0
2015-06-22,22219.0
2015-06-23,23887.0
2015-06-24,22815.0
2015-06-25,23289.0
2015-06-26,23867.0
2015-06-27,23788.0
2015-06-28,22370.0
2015-06-29,23323.0
2015-06-30,25843.0
2015-07-01,21457.0
2015-07-02,24552.0
2015-07-03,22283.0
2015-07-04,20306.0
2015-07-05,22044.0
2015-07-06,21131.0
2015-07-07,26040.0
2015-07-08,24205.0
2015-07-09,20540.0
2015-07-10,22226.0
2015-07-11,21271.0
2015-07-12,20926.0
2015-07-13,23654.0
2015-07-14,25777.0
2015-07-15,25918.0
2015-07-16,26082.0
2015-07-17,26449.0
2015-07-18,25265.0
2015-07-19,22937.0
2015-07-20,24123.0
2015-07-21,26390.0
2015-07-22,26242.0
2015-07-23,26160.0
2015-07-24,26228.0
2015-07-25,24983.0
2015-07-26,22549.0
2015-07-27,23908.0
2015-07-28,25698.0
2015-07-29,26082.0
2015-07-30,26107.0
2015-07-31,25007.0
2015-08-01,23761.0
2015-08-02,22994.0
2015-08-03,20549.0
2015-08-04,22046.0
2015-08-05,22349.0
2015-08-06,21987.0
2015-08-07,26168.0
2015-08-08,23857.0
2015-08-09,21924.0
2015-08-10,21927.0
2015-08-11,19513.0
2015-08-12,20939.0
2015-08-13,23853.0
2015-08-14,22602.0
2015-08-15,21793.0
2015-08-16,20315.0
2015-08-17,20952.0
2015-08-18,21961.0
2015-08-19,21880.0
2015-08-20,22513.0
2015-08-21,23066.0
2015-08-22,22835.0
2015-08-23,21002.0
2015-08-24,21686.0
2015-08-25,22811.0
2015-08-26,22355.0
2015-08-27,23416.0
2015-08-28,23592.0
2015-08-29,23427.0
2015-08-30,21815.0
2015-08-31,22712.0
2015-09-01,23967.0
2015-09-02,23426.0
2015-09-03,21345.0
2015-09-04,22198.0
2015-09-05,21899.0
2015-09-06,23790.0
2015-09-07,26204.0
2015-09-08,21504.0
2015-09-09,22166.0
2015-09-10,21730.0
2015-09-11,20027.0
2015-09-12,21356.0
2015-09-13,20193.0
2015-09-14,21176.0
2015-09-15,22142.0
2015-09-16,22633.0
2015-09-17,23015.0
2015-09-18,21891.0
2015-09-19,21595.0
2015-09-20,19761.0
2015-09-21,20773.0
2015-09-22,22441.0
2015-09-23,22611.0
2015-09-24,22590.0
2015-09-25,22326.0
2015-09-26,21736.0
2015-09-27,20106.0
2015-09-28,20582.0
2015-09-29,22372.0
2015-09-30,22233.0
2015-10-01,23288.0
2015-10-02,25296.0
2015-10-03,22796.0
2015-10-04,22088.0
2015-10-05,20164.0
2015-10-06,23858.0
2015-10-07,25920.0
2015-10-08,21672.0
2015-10-09,22608.0
2015-10-10,20940.0
2015-10-11,21504.0
2015-10-12,22932.0
2015-10-13,20028.0
2015-10-14,21619.0
2015-10-15,21516.0
2015-10-16,21590.0
2015-10-17,21253.0
2015-10-18,19588.0
2015-10-19,20388.0
2015-10-20,21807.0
2015-10-21,21729.0
2015-10-22,21741.0
2015-10-23,21707.0
2015-10-24,21078.0
2015-10-25,19298.0
2015-10-26,20328.0
2015-10-27,21678.0
2015-10-28,21658.0
2015-10-29,21625.0
2015-10-30,21906.0
2015-10-31,21240.0
2015-11-01,21517.0
2015-11-02,25226.0
2015-11-03,22747.0
2015-11-04,21619.0
2015-11-05,21006.0
2015-11-06,23811.0
2015-11-07,24868.0
2015-11-08,23264.0
2015-11-09,22353.0
2015-11-10,19679.0
2015-11-11,21791.0
2015-11-12,23255.0
2015-11-13,22000.0
2015-11-14,21047.0
2015-11-15,19578.0
2015-11-16,20386.0
2015-11-17,22088.0
2015-11-18,22255.0
2015-11-19,21918.0
2015-11-20,22265.0
2015-11-21,21883.0
2015-11-22,20114.0
2015-11-23,21089.0
2015-11-24,23168.0
2015-11-25,23230.0
2015-11-26,23366.0
2015-11-27,23388.0
2015-11-28,22613.0
2015-11-29,20829.0
2015-11-30,21748.0
2015-12-01,22338.0
2015-12-02,24870.0
2015-12-03,22514.0
2015-12-04,20014.0
2015-12-05,22563.0
2015-12-06,22810.0
2015-12-07,22826.0
2015-12-08,23574.0
2015-12-09,21884.0
2015-12-10,19558.0
2015-12-11,21913.0
2015-12-12,22669.0
2015-12-13,20955.0
2015-12-14,21927.0
2015-12-15,23465.0
2015-12-16,23337.0
2015-12-17,23162.0
2015-12-18,22790.0
2015-12-19,22309.0
2015-12-20,20551.0
2015-12-21,21231.0
2015-12-22,22300.0
2015-12-23,21988.0
2015-12-24,20754.0
2015-12-25,18178.0
2015-12-26,18539.0
2015-12-27,19248.0
2015-12-28,19570.0
2015-12-29,20239.0
2015-12-30,19870.0
2015-12-31,19445.0
2016-01-01,18310.0
2016-01-02,21760.0
2016-01-03,23650.0
2016-01-04,23000.0
2016-01-05,19446.0
2016-01-06,22396.0
2016-01-07,24609.0
2016-01-08,23088.0
2016-01-09,24505.0
2016-01-10,22063.0
2016-01-11,19710.0
2016-01-12,23365.0
2016-01-13,23555.0
2016-01-14,24087.0
2016-01-15,23765.0
2016-01-16,23633.0
2016-01-17,21960.0
2016-01-18,22742.0
2016-01-19,24103.0
2016-01-20,24212.0
2016-01-21,23886.0
2016-01-22,24103.0
2016-01-23,23013.0
2016-01-24,21165.0
2016-01-25,22281.0
